Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_agr.txt
Log File Name:                   DEP_agr.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            884579305
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_agr.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
101000	-137.820833	806	1	1	'0 0 0 0 0 0 0 Z 	D	0.310044	0.310044	0.310044	0.310044	0.310044	0.310044	0.310044	0.000000	0.058955	0.285384	0.114379	0.541283	0.126742	
102000	-137.515303	175	1	1	'0 0 0 0 0 0 0 Z 	D	0.262171	0.262171	0.262171	0.262171	0.262171	0.262171	0.262171	0.000000	0.047422	0.252515	0.112332	0.587731	0.186026	
103000	-138.745098	16	1	3	'0 0 0 0 Z Z 0 Z 	D	0.228568	0.228568	0.228568	0.228568	0.000000	0.000000	0.228568	0.000000	0.012906	0.200239	0.000000	0.786855	0.383318	
104000	-136.984063	422	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.189530	0.189530	0.189530	0.189530	0.189530	0.189530	0.000000	0.000588	0.137799	0.051520	0.810093	0.334065	
105000	-136.206542	378	1	3	'0 0 0 0 Z 0 Z Z 	D	0.196692	0.196692	0.196692	0.196692	0.000000	0.196692	0.000000	0.000000	0.060730	0.939269	0.000000	0.000001	0.263494	
106000	-137.930314	702	2	3	'0 0 1 0 Z 1 Z Z 	D	0.168636	0.168636	0.177213	0.168636	0.000000	0.177213	0.000000	0.000000	0.100900	0.899099	0.000000	0.000001	0.130734	
107000	-135.542351	421	1	1	'0 0 0 0 0 0 0 Z 	D	0.205106	0.205106	0.205106	0.205106	0.205106	0.205106	0.205106	0.000000	0.021477	0.214007	0.102726	0.661791	0.353755	
108000	-137.693138	820	1	3	'0 0 0 0 Z 0 Z Z 	D	0.187241	0.187241	0.187241	0.187241	0.000000	0.187241	0.000000	0.000000	0.045930	0.954069	0.000000	0.000001	0.311563	
109000	-138.262345	730	1	3	'0 0 0 0 Z 0 Z Z 	D	0.170951	0.170951	0.170951	0.170951	0.000000	0.170951	0.000000	0.000000	0.446537	0.553462	0.000000	0.000000	0.346329	
110000	-136.427699	116	1	1	'0 0 0 0 0 0 0 Z 	D	0.260345	0.260345	0.260345	0.260345	0.260345	0.260345	0.260345	0.000000	0.052330	0.286778	0.138772	0.522120	0.311511	
111000	-135.935445	388	1	3	'0 0 0 0 Z 0 Z Z 	D	0.178852	0.178852	0.178852	0.178852	0.000000	0.178852	0.000000	0.000000	0.065720	0.934280	0.000000	0.000000	0.448658	
112000	-136.526813	74	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.195860	0.195860	0.195860	0.195860	0.195860	0.195860	0.000000	0.002945	0.131809	0.080592	0.784654	0.402792	
113000	-136.392998	223	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.174768	0.174768	0.174768	0.174768	0.174768	0.174768	0.000000	0.000606	0.182152	0.090788	0.726453	0.470013	
114000	-139.159444	712	1	3	'0 0 0 0 Z Z 0 Z 	D	0.226280	0.226280	0.226280	0.226280	0.000000	0.000000	0.226280	0.000000	0.003899	0.148659	0.000000	0.847441	0.372148	
115000	-134.699190	978	1	1	'0 0 0 0 0 0 0 Z 	D	0.203093	0.203093	0.203093	0.203093	0.203093	0.203093	0.203093	0.000000	0.061526	0.263967	0.223517	0.450989	0.129096	
116000	-138.038532	791	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.177229	0.177229	0.177229	0.177229	0.177229	0.177229	0.000000	0.001026	0.149765	0.071195	0.778014	0.135821	
117000	-136.605088	816	1	1	'0 0 0 0 0 0 0 Z 	D	0.200459	0.200459	0.200459	0.200459	0.200459	0.200459	0.200459	0.000000	0.038343	0.218319	0.109244	0.634094	0.346455	
118000	-140.849619	495	1	3	'Z 0 0 0 0 0 Z Z 	D	0.000000	0.136206	0.136206	0.136206	0.136206	0.136206	0.000000	0.000000	0.000000	0.999999	0.000000	0.000001	0.243897	
119000	-138.407967	189	1	3	'0 0 0 0 Z 0 Z Z 	D	0.141413	0.141413	0.141413	0.141413	0.000000	0.141413	0.000000	0.000000	0.033567	0.966432	0.000000	0.000001	0.075838	
120000	-135.981744	255	1	3	'0 0 0 0 Z 0 Z Z 	D	0.168747	0.168747	0.168747	0.168747	0.000000	0.168747	0.000000	0.000000	0.042710	0.957290	0.000000	0.000000	0.204112	
121000	-137.318236	465	1	3	'0 0 0 0 Z 0 Z Z 	D	0.163821	0.163821	0.163821	0.163821	0.000000	0.163821	0.000000	0.000000	0.048500	0.951500	0.000000	0.000000	0.358547	
122000	-136.315679	997	1	1	'0 0 0 0 0 0 0 Z 	D	0.222933	0.222933	0.222933	0.222933	0.222933	0.222933	0.222933	0.000000	0.060987	0.252043	0.124007	0.562963	0.346770	
123000	-136.897382	456	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.189672	0.189672	0.189672	0.189672	0.189672	0.189672	0.000000	0.000493	0.182099	0.065713	0.751695	0.399231	
124000	-136.044018	436	1	1	'0 0 0 0 0 0 0 Z 	D	0.206580	0.206580	0.206580	0.206580	0.206580	0.206580	0.206580	0.000000	0.027761	0.233288	0.087733	0.651218	0.437923	
125000	-138.083988	634	1	1	'0 0 0 0 0 0 0 Z 	D	0.304722	0.304722	0.304722	0.304722	0.304722	0.304722	0.304722	0.000000	0.074386	0.291529	0.116167	0.517919	0.279926	
126000	-139.081587	171	1	1	'0 0 0 0 0 0 Z 0 	D	0.116008	0.116008	0.116008	0.116008	0.116008	0.116008	0.000000	0.116008	0.023899	0.948646	0.018882	0.008574	0.214178	
127000	-136.325808	383	1	1	'0 0 0 0 0 0 0 Z 	D	0.256240	0.256240	0.256240	0.256240	0.256240	0.256240	0.256240	0.000000	0.070380	0.250944	0.194030	0.484646	0.381763	
128000	-137.437773	765	1	1	'0 0 0 0 0 0 0 Z 	D	0.176695	0.176695	0.176695	0.176695	0.176695	0.176695	0.176695	0.000000	0.040391	0.238717	0.243380	0.477513	0.237291	
129000	-132.444834	206	2	1	'1 1 1 0 0 1 0 Z 	D	0.638121	0.638121	0.638121	0.036037	0.036037	0.638121	0.036037	0.000000	0.583159	0.327865	0.042063	0.046913	0.172116	
