Default schedule
Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
623	0.280899	106	0.084906	143	0.748252	128	0.523438	1.974832	623	0.280899	0.358000	0.368472	
627	0.299841	104	0.076923	147	0.823129	122	0.663934	1.974832	627	0.299841	0.398000	0.368761	
616	0.303571	114	0.070175	144	0.805556	126	0.722222	1.974832	616	0.303571	0.402000	0.369084	
625	0.296000	116	0.112069	113	0.805310	146	0.616438	1.974832	625	0.296000	0.379000	0.369179	
644	0.274845	118	0.059322	113	0.867257	125	0.592000	1.974832	644	0.274845	0.356000	0.369054	
651	0.231951	112	0.026786	118	0.855932	119	0.529412	1.974832	651	0.231951	0.318000	0.368572	
615	0.286179	107	0.028037	135	0.807407	143	0.650350	1.974832	615	0.286179	0.381000	0.368688	
645	0.255814	118	0.084746	119	0.789916	118	0.584746	1.974832	645	0.255814	0.338000	0.368404	
601	0.251248	119	0.016807	142	0.838028	138	0.420290	1.974832	601	0.251248	0.330000	0.368052	
648	0.248457	109	0.073394	123	0.796748	120	0.416667	1.974832	648	0.248457	0.317000	0.367588	
627	0.291866	119	0.050420	121	0.809917	133	0.639098	1.974832	627	0.291866	0.372000	0.367627	
631	0.228209	124	0.056452	127	0.811024	118	0.644068	1.974832	631	0.228209	0.330000	0.367291	
619	0.318255	111	0.054054	140	0.892857	130	0.530769	1.974832	619	0.318255	0.397000	0.367554	
642	0.303738	125	0.072000	118	0.796610	115	0.643478	1.974832	642	0.303738	0.372000	0.367593	
650	0.263077	119	0.050420	110	0.781818	121	0.454545	1.974832	650	0.263077	0.318000	0.367162	
628	0.283439	108	0.101852	131	0.832061	133	0.488722	1.974832	628	0.283439	0.363000	0.367126	
663	0.328808	105	0.104762	125	0.808000	107	0.635514	1.974832	663	0.328808	0.398000	0.367390	
