Default schedule
Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
608	0.248355	155	0.000000	125	0.560000	112	0.589286	1.339530	608	0.248355	0.287000	0.337908	
622	0.336013	123	0.016260	125	0.576000	130	0.638462	1.339530	622	0.336013	0.366000	0.338183	
594	0.388889	104	0.028846	167	0.742515	135	0.622222	1.339530	594	0.388889	0.442000	0.339191	
649	0.338983	124	0.048387	120	0.750000	107	0.616822	1.339530	649	0.338983	0.382000	0.339603	
596	0.317114	93	0.010753	159	0.723270	152	0.644737	1.339530	596	0.317114	0.403000	0.340206	
579	0.283247	83	0.024096	149	0.785235	189	0.470899	1.339530	579	0.283247	0.372000	0.340506	
588	0.297619	71	0.000000	165	0.696970	176	0.460227	1.339530	588	0.297619	0.371000	0.340791	
575	0.267826	96	0.000000	165	0.721212	164	0.500000	1.339530	575	0.267826	0.355000	0.340923	
573	0.280977	91	0.000000	172	0.715116	164	0.500000	1.339530	573	0.280977	0.366000	0.341153	
585	0.300855	111	0.018018	158	0.683544	146	0.568493	1.339530	585	0.300855	0.369000	0.341406	
588	0.304422	90	0.000000	160	0.700000	162	0.574074	1.339530	588	0.304422	0.384000	0.341790	
572	0.309441	62	0.032258	191	0.743455	175	0.588571	1.339530	572	0.309441	0.424000	0.342524	
563	0.284192	91	0.000000	153	0.732026	193	0.455959	1.339530	563	0.284192	0.360000	0.342678	
577	0.306759	88	0.022727	173	0.780347	162	0.419753	1.339530	577	0.306759	0.382000	0.343023	
546	0.294872	86	0.000000	205	0.653659	163	0.472393	1.339530	546	0.294872	0.372000	0.343275	
576	0.263889	99	0.000000	176	0.721591	149	0.630872	1.339530	576	0.263889	0.373000	0.343532	
586	0.278157	96	0.020833	151	0.741722	167	0.574850	1.339530	586	0.278157	0.373000	0.343783	
613	0.267537	69	0.000000	159	0.773585	159	0.597484	1.339530	613	0.267537	0.382000	0.344107	
629	0.284579	94	0.063830	154	0.707792	123	0.569106	1.339530	629	0.284579	0.364000	0.344274	
595	0.280672	84	0.047619	164	0.676829	157	0.656051	1.339530	595	0.280672	0.385000	0.344614	
639	0.408451	109	0.064220	134	0.679104	118	0.720339	1.339530	639	0.408451	0.444000	0.345435	
583	0.161235	119	0.058824	161	0.770186	137	0.583942	2.563602	583	0.161235	0.305000	0.345104	
629	0.368839	114	0.149123	135	0.822222	122	0.590164	1.520266	629	0.368839	0.432000	0.345810	
617	0.345219	119	0.134454	140	0.828571	124	0.612903	1.520266	617	0.345219	0.421000	0.346417	
633	0.345972	125	0.072000	127	0.724409	115	0.634783	1.520266	633	0.345972	0.393000	0.346789	
598	0.270903	115	0.017391	136	0.713235	151	0.642384	1.520266	598	0.270903	0.358000	0.346878	
568	0.272887	83	0.000000	186	0.720430	163	0.693252	1.520266	568	0.272887	0.402000	0.347312	
573	0.277487	105	0.038095	174	0.683908	148	0.567568	1.520266	573	0.277487	0.366000	0.347458	
637	0.373626	98	0.020408	140	0.842857	125	0.584000	1.520266	637	0.373626	0.431000	0.348106	
632	0.337025	98	0.061224	107	0.785047	163	0.570552	1.520266	632	0.337025	0.396000	0.348474	
607	0.271829	86	0.046512	144	0.715278	163	0.644172	1.520266	607	0.271829	0.377000	0.348692	
561	0.290553	75	0.000000	171	0.713450	193	0.590674	1.520266	561	0.290553	0.399000	0.349073	
563	0.293073	81	0.024691	175	0.777143	181	0.574586	1.520266	563	0.293073	0.407000	0.349509	
635	0.292913	108	0.064815	143	0.755245	114	0.535088	1.520266	635	0.292913	0.362000	0.349602	
632	0.335443	98	0.030612	136	0.801471	134	0.574627	1.520266	632	0.335443	0.401000	0.349983	
648	0.316358	96	0.031250	135	0.837037	121	0.644628	1.520266	648	0.316358	0.399000	0.350343	
641	0.338534	107	0.065421	124	0.806452	128	0.703125	1.520266	641	0.338534	0.414000	0.350808	
641	0.341654	102	0.098039	143	0.776224	114	0.561404	1.520266	641	0.341654	0.404000	0.351193	
634	0.339117	99	0.010101	135	0.837037	132	0.583333	1.520266	634	0.339117	0.406000	0.351587	
628	0.335987	109	0.110092	138	0.775362	125	0.616000	1.520266	628	0.335987	0.407000	0.351983	
613	0.370310	109	0.128440	142	0.816901	136	0.735294	1.520266	613	0.370310	0.457000	0.352728	
641	0.380655	117	0.102564	116	0.853448	126	0.714286	1.520266	641	0.380655	0.445000	0.353378	
612	0.390523	109	0.128440	133	0.834586	146	0.630137	1.520266	612	0.390523	0.456000	0.354095	
614	0.355049	130	0.076923	135	0.822222	121	0.520661	1.520266	614	0.355049	0.402000	0.354428	
638	0.382445	108	0.138889	134	0.791045	120	0.475000	1.520266	638	0.382445	0.422000	0.354894	
633	0.369668	115	0.147826	147	0.802721	105	0.580952	1.520266	633	0.369668	0.430000	0.355409	
638	0.355799	122	0.122951	121	0.752066	119	0.495798	1.520266	638	0.355799	0.392000	0.355657	
643	0.393468	116	0.034483	122	0.581967	119	0.546218	1.520266	643	0.393468	0.393000	0.355910	
632	0.362342	119	0.050420	115	0.565217	134	0.455224	1.520266	632	0.362342	0.361000	0.355944	
630	0.371429	124	0.000000	113	0.690265	133	0.593985	1.520266	630	0.371429	0.391000	0.356178	
615	0.398374	118	0.033898	137	0.649635	130	0.469231	1.520266	615	0.398374	0.399000	0.356461	
611	0.422259	111	0.036036	139	0.669065	139	0.618705	1.520266	611	0.422259	0.441000	0.357017	
604	0.254967	127	0.023622	135	0.674074	134	0.477612	2.388087	604	0.254967	0.312000	0.356723	
621	0.260870	126	0.055556	126	0.595238	127	0.653543	2.388087	621	0.260870	0.327000	0.356530	
641	0.244930	107	0.018692	117	0.683761	135	0.622222	2.388087	641	0.244930	0.323000	0.356314	
633	0.249605	118	0.000000	123	0.650407	126	0.571429	2.388087	633	0.249605	0.310000	0.356017	
660	0.262121	103	0.038835	128	0.601562	109	0.504587	2.388087	660	0.262121	0.309000	0.355717	
640	0.264062	111	0.018018	107	0.607477	142	0.549296	2.388087	640	0.264062	0.314000	0.355453	
639	0.270736	116	0.017241	134	0.574627	111	0.711712	2.388087	639	0.270736	0.331000	0.355300	
645	0.232558	110	0.100000	118	0.635593	127	0.496063	2.388087	645	0.232558	0.299000	0.354948	
638	0.277429	115	0.043478	125	0.624000	122	0.459016	2.388087	638	0.277429	0.316000	0.354706	
633	0.265403	122	0.032787	116	0.525862	129	0.596899	2.388087	633	0.265403	0.310000	0.354430	
594	0.252525	127	0.015748	151	0.635762	128	0.507812	2.388087	594	0.252525	0.313000	0.354176	
632	0.242089	137	0.043796	109	0.678899	122	0.631148	2.388087	632	0.242089	0.310000	0.353906	
630	0.269841	126	0.031746	135	0.577778	109	0.559633	2.388087	630	0.269841	0.313000	0.353658	
626	0.260383	124	0.048387	120	0.616667	130	0.538462	2.388087	626	0.260383	0.313000	0.353414	
622	0.266881	139	0.043165	131	0.648855	108	0.546296	2.388087	622	0.266881	0.316000	0.353190	
606	0.280528	112	0.000000	155	0.612903	127	0.496063	2.388087	606	0.280528	0.328000	0.353040	
641	0.287051	120	0.025000	118	0.652542	121	0.520661	2.388087	641	0.287051	0.327000	0.352885	
629	0.278219	116	0.025862	130	0.607692	125	0.528000	2.388087	629	0.278219	0.323000	0.352710	
608	0.236842	117	0.068376	137	0.627737	138	0.427536	2.388087	608	0.236842	0.297000	0.352384	
608	0.259868	129	0.031008	127	0.559055	136	0.522059	2.388087	608	0.259868	0.304000	0.352103	
641	0.237129	106	0.018868	119	0.571429	134	0.701493	2.388087	641	0.237129	0.316000	0.351894	
615	0.261789	116	0.017241	129	0.589147	140	0.485714	2.388087	615	0.261789	0.307000	0.351636	
623	0.280899	109	0.000000	137	0.686131	131	0.610687	2.388087	623	0.280899	0.349000	0.351621	
629	0.227345	110	0.036364	128	0.539062	133	0.639098	2.388087	629	0.227345	0.301000	0.351333	
630	0.287302	122	0.032787	137	0.627737	111	0.450450	2.388087	630	0.287302	0.321000	0.351162	
628	0.254777	122	0.032787	129	0.620155	121	0.471074	2.388087	628	0.254777	0.301000	0.350880	
632	0.245253	120	0.033333	132	0.651515	116	0.500000	2.388087	632	0.245253	0.303000	0.350613	
642	0.238318	111	0.018018	125	0.672000	122	0.516393	2.388087	642	0.238318	0.302000	0.350342	
636	0.253145	127	0.015748	126	0.619048	111	0.504505	2.388087	636	0.253145	0.297000	0.350048	
641	0.252730	107	0.056075	129	0.627907	123	0.585366	2.388087	641	0.252730	0.321000	0.349888	
614	0.258958	105	0.028571	153	0.633987	128	0.554688	2.388087	614	0.258958	0.330000	0.349780	
643	0.101089	118	0.008475	116	0.465517	123	0.642276	2.388087	643	0.101089	0.199000	0.348960	
631	0.253566	112	0.035714	129	0.821705	128	0.625000	2.131358	631	0.253566	0.350000	0.348966	
622	0.199357	107	0.046729	124	0.806452	147	0.687075	2.131358	622	0.199357	0.330000	0.348864	
625	0.368000	115	0.078261	134	0.723881	126	0.523810	1.324068	625	0.368000	0.402000	0.349148	
618	0.375405	83	0.048193	154	0.772727	145	0.593103	1.324068	618	0.375405	0.441000	0.349636	
589	0.319185	91	0.000000	154	0.753247	166	0.530120	1.324068	589	0.319185	0.392000	0.349861	
582	0.338488	91	0.043956	173	0.751445	154	0.558442	1.324068	582	0.338488	0.417000	0.350214	
575	0.290435	109	0.009174	154	0.805195	162	0.611111	1.324068	575	0.290435	0.391000	0.350427	
577	0.292894	84	0.011905	184	0.695652	155	0.567742	1.324068	577	0.292894	0.386000	0.350613	
574	0.331010	84	0.000000	157	0.777070	185	0.545946	1.324068	574	0.331010	0.413000	0.350936	
