Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_pol.bin2.txt
Log File Name:                   DEP_pol2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3996754486
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_pol2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
101000	-134.566851	716	1	1	'0 0 0 0 0 0 Z 0 	D	0.178454	0.178454	0.178454	0.178454	0.178454	0.178454	0.000000	0.178454	0.286193	0.037405	0.616764	0.059638	0.211078	
102000	-134.477595	983	1	0	'0 0 0 0 0 0 0 0 	I	0.136492	0.136492	0.136492	0.136492	0.136492	0.136492	0.136492	0.136492	0.059109	0.002542	0.899661	0.038688	0.325652	
103000	-137.809188	647	1	2	'0 0 Z 0 0 Z 0 0 	D	0.247561	0.247561	0.000000	0.247561	0.247561	0.000000	0.247561	0.247561	0.359775	0.003176	0.540324	0.096726	0.485216	
104000	-134.700411	269	1	0	'0 0 0 0 0 0 0 0 	I	0.185618	0.185618	0.185618	0.185618	0.185618	0.185618	0.185618	0.185618	0.192809	0.022905	0.701007	0.083279	0.127515	
105000	-135.201110	299	1	2	'Z 0 0 0 0 Z 0 0 	I	0.000000	0.236753	0.236753	0.236753	0.236753	0.000000	0.236753	0.236753	0.000000	0.354651	0.000000	0.645349	0.416294	
106000	-133.683685	345	1	1	'0 0 0 0 0 Z 0 0 	D	0.226157	0.226157	0.226157	0.226157	0.226157	0.000000	0.226157	0.226157	0.238053	0.179491	0.172501	0.409955	0.469257	
107000	-134.991200	515	1	2	'0 0 0 0 Z Z 0 0 	D	0.241117	0.241117	0.241117	0.241117	0.000000	0.000000	0.241117	0.241117	0.311529	0.278583	0.000000	0.409888	0.217423	
108000	-133.798382	961	1	2	'0 0 0 0 Z Z 0 0 	D	0.168232	0.168232	0.168232	0.168232	0.000000	0.000000	0.168232	0.168232	0.488672	0.107070	0.000000	0.404258	0.453608	
109000	-133.688007	997	1	1	'0 0 0 0 0 Z 0 0 	D	0.189751	0.189751	0.189751	0.189751	0.189751	0.000000	0.189751	0.189751	0.236133	0.130148	0.297219	0.336500	0.239138	
110000	-134.986297	939	1	3	'0 Z 0 0 Z Z 0 0 	D	0.278457	0.000000	0.278457	0.278457	0.000000	0.000000	0.278457	0.278457	0.004689	0.110167	0.000000	0.885144	0.155748	
111000	-134.937781	379	1	1	'0 0 0 0 Z 0 0 0 	D	0.193843	0.193843	0.193843	0.193843	0.000000	0.193843	0.193843	0.193843	0.800942	0.063116	0.070392	0.065550	0.444970	
112000	-136.109849	894	1	4	'Z 0 0 0 Z Z Z 0 	I	0.000000	0.175963	0.175963	0.175963	0.000000	0.000000	0.000000	0.175963	0.000000	0.999999	0.000000	0.000001	0.466946	
113000	-132.885885	470	1	2	'Z 0 0 0 0 Z 0 0 	I	0.000000	0.232545	0.232545	0.232545	0.232545	0.000000	0.232545	0.232545	0.000000	0.348140	0.000000	0.651860	0.266357	
114000	-133.438561	611	1	2	'0 0 0 0 Z Z 0 0 	D	0.206674	0.206674	0.206674	0.206674	0.000000	0.000000	0.206674	0.206674	0.365785	0.236878	0.000000	0.397337	0.130211	
115000	-134.915711	100	1	2	'0 0 0 0 Z Z 0 0 	D	0.240383	0.240383	0.240383	0.240383	0.000000	0.000000	0.240383	0.240383	0.324371	0.271437	0.000000	0.404192	0.406799	
116000	-139.537277	936	1	2	'0 Z 0 0 Z 0 0 0 	D	0.382657	0.000000	0.382657	0.382657	0.000000	0.382657	0.382657	0.382657	0.001755	0.033426	0.628485	0.336334	0.158281	
117000	-136.091337	182	1	3	'0 Z 0 0 Z Z 0 0 	D	0.259303	0.000000	0.259303	0.259303	0.000000	0.000000	0.259303	0.259303	0.000151	0.024713	0.000000	0.975136	0.272389	
118000	-135.523984	977	1	3	'0 Z 0 0 Z Z 0 0 	D	0.246493	0.000000	0.246493	0.246493	0.000000	0.000000	0.246493	0.246493	0.000439	0.031519	0.000000	0.968042	0.101434	
119000	-134.068552	611	1	3	'0 0 0 0 Z Z Z 0 	D	0.180643	0.180643	0.180643	0.180643	0.000000	0.000000	0.000000	0.180643	0.684610	0.315389	0.000000	0.000001	0.199179	
120000	-133.882783	421	1	1	'0 0 0 0 0 Z 0 0 	D	0.158219	0.158219	0.158219	0.158219	0.158219	0.000000	0.158219	0.158219	0.156748	0.056904	0.199583	0.586764	0.433575	
121000	-132.006242	372	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.194810	0.194810	0.194810	0.000000	0.000000	0.194810	0.194810	0.000000	0.259681	0.000000	0.740319	0.217660	
122000	-134.640817	841	1	2	'Z 0 0 0 0 Z 0 0 	I	0.000000	0.191197	0.191197	0.191197	0.191197	0.000000	0.191197	0.191197	0.000000	0.216972	0.000000	0.783028	0.424067	
123000	-133.893646	320	1	1	'0 0 0 0 0 Z 0 0 	D	0.218044	0.218044	0.218044	0.218044	0.218044	0.000000	0.218044	0.218044	0.232173	0.135088	0.188043	0.444697	0.491674	
124000	-133.308528	241	1	1	'0 0 0 0 Z 0 0 0 	D	0.178827	0.178827	0.178827	0.178827	0.000000	0.178827	0.178827	0.178827	0.839946	0.034347	0.068655	0.057052	0.490178	
125000	-134.154259	288	1	2	'0 0 0 0 Z Z 0 0 	D	0.179542	0.179542	0.179542	0.179542	0.000000	0.000000	0.179542	0.179542	0.439559	0.157092	0.000000	0.403349	0.274481	
126000	-133.046496	352	1	0	'0 0 0 0 0 0 0 0 	I	0.148081	0.148081	0.148081	0.148081	0.148081	0.148081	0.148081	0.148081	0.075832	0.006527	0.844923	0.072719	0.188359	
