Default schedule
Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
656	0.347561	100	0.140000	119	0.806723	125	0.552000	1.869329	656	0.347561	0.407000	0.361848	
615	0.300813	128	0.085938	123	0.853659	134	0.544776	1.869329	615	0.300813	0.374000	0.361967	
632	0.327532	110	0.109091	120	0.791667	138	0.608696	1.869329	632	0.327532	0.398000	0.362317	
660	0.284848	106	0.150943	131	0.786260	103	0.592233	1.869329	660	0.284848	0.368000	0.362372	
649	0.286595	119	0.117647	114	0.745614	118	0.728814	1.869329	649	0.286595	0.371000	0.362454	
667	0.239880	98	0.051020	131	0.801527	104	0.538462	1.869329	667	0.239880	0.326000	0.362110	
607	0.337727	117	0.111111	120	0.825000	156	0.685897	1.869329	607	0.337727	0.424000	0.362688	
660	0.239394	108	0.074074	93	0.881720	139	0.561151	1.869329	660	0.239394	0.326000	0.362348	
624	0.314103	95	0.052632	129	0.806202	152	0.592105	1.869329	624	0.314103	0.395000	0.362648	
639	0.413146	131	0.045802	105	0.761905	125	0.696000	1.869329	639	0.413146	0.437000	0.363324	
610	0.193443	127	0.110236	120	0.808333	143	0.538462	3.249591	610	0.193443	0.306000	0.362808	
629	0.193959	116	0.112069	113	0.814159	142	0.598592	2.511413	629	0.193959	0.312000	0.362354	
634	0.347003	112	0.160714	115	0.791304	139	0.503597	1.550924	634	0.347003	0.399000	0.362678	
637	0.348509	127	0.141732	115	0.747826	121	0.429752	1.550924	637	0.348509	0.378000	0.362813	
630	0.309524	123	0.097561	111	0.792793	136	0.661765	1.550924	630	0.309524	0.385000	0.363006	
652	0.323620	130	0.076923	87	0.781609	131	0.587786	1.550924	652	0.323620	0.366000	0.363031	
622	0.450161	103	0.029126	118	0.720339	157	0.675159	1.550924	622	0.450161	0.474000	0.363980	
654	0.282875	108	0.111111	97	0.762887	141	0.560284	2.290216	654	0.282875	0.350000	0.363861	
636	0.259434	101	0.138614	140	0.757143	123	0.658537	2.290216	636	0.259434	0.366000	0.363879	
653	0.289433	116	0.172414	118	0.838983	113	0.592920	2.290216	653	0.289433	0.375000	0.363972	
618	0.228155	105	0.076190	132	0.787879	145	0.600000	2.290216	618	0.228155	0.340000	0.363774	
647	0.222566	117	0.042735	128	0.835938	108	0.666667	2.290216	647	0.222566	0.328000	0.363481	
640	0.212500	119	0.092437	121	0.768595	120	0.683333	2.290216	640	0.212500	0.322000	0.363143	
606	0.207921	128	0.125000	137	0.846715	129	0.573643	2.290216	606	0.207921	0.332000	0.362892	
637	0.226060	117	0.059829	132	0.818182	114	0.649123	2.290216	637	0.226060	0.333000	0.362653	
635	0.203150	132	0.136364	103	0.786408	130	0.638462	2.290216	635	0.203150	0.311000	0.362243	
644	0.251553	112	0.098214	118	0.838983	126	0.523810	2.290216	644	0.251553	0.338000	0.362052	
620	0.227419	125	0.112000	130	0.869231	125	0.576000	2.290216	620	0.227419	0.340000	0.361880	
604	0.218543	135	0.074074	132	0.856061	129	0.449612	2.290216	604	0.218543	0.313000	0.361501	
630	0.204762	121	0.115702	121	0.851240	128	0.562500	2.290216	630	0.204762	0.318000	0.361166	
626	0.263578	140	0.214286	111	0.783784	123	0.560976	2.290216	626	0.263578	0.351000	0.361089	
642	0.235202	120	0.116667	113	0.814159	125	0.656000	2.290216	642	0.235202	0.339000	0.360922	
646	0.289474	99	0.141414	130	0.792308	125	0.488000	2.290216	646	0.289474	0.365000	0.360952	
645	0.266667	101	0.148515	135	0.822222	119	0.655462	2.290216	645	0.266667	0.376000	0.361064	
664	0.248494	99	0.111111	130	0.769231	107	0.476636	2.290216	664	0.248494	0.327000	0.360812	
632	0.189873	102	0.049020	152	0.796053	114	0.517544	2.290216	632	0.189873	0.305000	0.360402	
611	0.427169	112	0.142857	137	0.868613	140	0.642857	1.535751	611	0.427169	0.486000	0.361319	
628	0.189490	117	0.153846	129	0.868217	126	0.460317	2.753535	628	0.189490	0.307000	0.360925	
601	0.257903	135	0.096296	135	0.755556	129	0.689922	2.260081	601	0.257903	0.359000	0.360911	
624	0.266026	117	0.085470	106	0.849057	153	0.549020	2.260081	624	0.266026	0.350000	0.360833	
613	0.181077	133	0.105263	131	0.847328	123	0.569106	2.260081	613	0.181077	0.306000	0.360444	
632	0.314873	102	0.147059	144	0.854167	122	0.540984	1.871430	632	0.314873	0.403000	0.360744	
602	0.297342	130	0.176923	132	0.765152	136	0.522059	1.871430	602	0.297342	0.374000	0.360837	
649	0.297381	120	0.175000	115	0.904348	116	0.474138	1.871430	649	0.297381	0.373000	0.360921	
646	0.303406	120	0.091667	115	0.834783	119	0.579832	1.871430	646	0.303406	0.372000	0.360998	
624	0.264423	116	0.094828	145	0.765517	115	0.539130	1.871430	624	0.264423	0.349000	0.360915	
627	0.279107	115	0.078261	119	0.848739	139	0.647482	1.871430	627	0.279107	0.375000	0.361011	
652	0.250000	101	0.059406	140	0.800000	107	0.467290	1.871430	652	0.250000	0.331000	0.360808	
620	0.325806	121	0.115702	132	0.803030	127	0.480315	1.871430	620	0.325806	0.383000	0.360957	
632	0.341772	104	0.096154	118	0.813559	146	0.623288	1.871430	632	0.341772	0.413000	0.361304	
648	0.287037	98	0.081633	140	0.850000	114	0.482456	1.871430	648	0.287037	0.368000	0.361349	
633	0.323855	117	0.179487	113	0.849558	137	0.722628	1.871430	633	0.323855	0.421000	0.361741	
622	0.297428	117	0.102564	139	0.762590	122	0.573770	1.871430	622	0.297428	0.373000	0.361815	
595	0.349580	104	0.076923	134	0.835821	167	0.359281	1.871430	595	0.349580	0.388000	0.361985	
675	0.311111	115	0.060870	91	0.769231	119	0.495798	1.871430	675	0.311111	0.346000	0.361882	
639	0.328638	112	0.080357	122	0.819672	127	0.645669	1.871430	639	0.328638	0.401000	0.362132	
657	0.312024	109	0.110092	111	0.810811	123	0.495935	1.871430	657	0.312024	0.368000	0.362170	
658	0.310030	81	0.148148	129	0.798450	132	0.757576	1.871430	658	0.310030	0.419000	0.362529	
633	0.311216	106	0.141509	117	0.905983	144	0.569444	1.871430	633	0.311216	0.400000	0.362765	
620	0.303226	117	0.128205	129	0.837209	134	0.552239	1.871430	620	0.303226	0.385000	0.362904	
635	0.223622	121	0.082645	105	0.857143	139	0.625899	1.871430	635	0.223622	0.329000	0.362693	
611	0.337152	129	0.139535	122	0.795082	138	0.615942	1.871430	611	0.337152	0.406000	0.362961	
615	0.248780	138	0.057971	111	0.747748	136	0.661765	1.871430	615	0.248780	0.334000	0.362783	
621	0.264090	103	0.106796	140	0.828571	136	0.625000	1.871430	621	0.264090	0.376000	0.362864	
648	0.279321	91	0.120879	121	0.826446	140	0.614286	1.871430	648	0.279321	0.378000	0.362955	
625	0.323200	127	0.078740	129	0.767442	119	0.596639	1.871430	625	0.323200	0.382000	0.363070	
604	0.331126	118	0.084746	123	0.764228	155	0.541935	1.871430	604	0.331126	0.388000	0.363219	
640	0.229687	119	0.092437	125	0.832000	116	0.525862	1.871430	640	0.229687	0.323000	0.362980	
638	0.225705	109	0.018349	136	0.750000	117	0.521368	1.871430	638	0.225705	0.309000	0.362661	
642	0.330218	107	0.056075	142	0.781690	109	0.614679	1.871430	642	0.330218	0.396000	0.362857	
637	0.362637	112	0.080357	128	0.789062	123	0.487805	1.871430	637	0.362637	0.401000	0.363080	
631	0.321712	127	0.015748	131	0.763359	111	0.315315	1.871430	631	0.321712	0.340000	0.362946	
649	0.243451	111	0.099099	116	0.879310	124	0.588710	1.871430	649	0.243451	0.344000	0.362836	
655	0.293130	95	0.147368	116	0.793103	134	0.597015	1.871430	655	0.293130	0.378000	0.362923	
640	0.309375	124	0.112903	138	0.818841	98	0.714286	1.871430	640	0.309375	0.395000	0.363106	
616	0.271104	124	0.129032	131	0.816794	129	0.666667	1.871430	616	0.271104	0.376000	0.363180	
633	0.248025	128	0.125000	129	0.829457	110	0.563636	1.871430	633	0.248025	0.342000	0.363060	
595	0.294118	148	0.121622	121	0.785124	136	0.595588	1.871430	595	0.294118	0.369000	0.363093	
618	0.302589	123	0.154472	132	0.772727	127	0.543307	1.871430	618	0.302589	0.377000	0.363171	
604	0.317881	118	0.093220	116	0.887931	162	0.592593	1.871430	604	0.317881	0.402000	0.363387	
631	0.302694	134	0.134328	119	0.848739	116	0.663793	1.871430	631	0.302694	0.387000	0.363517	
620	0.301613	111	0.171171	155	0.761290	114	0.543860	1.871430	620	0.301613	0.386000	0.363641	
642	0.330218	109	0.119266	118	0.796610	131	0.618321	1.871430	642	0.330218	0.400000	0.363840	
615	0.258537	133	0.127820	137	0.854015	115	0.530435	1.871430	615	0.258537	0.354000	0.363786	
651	0.258065	115	0.086957	111	0.864865	123	0.634146	1.871430	651	0.258065	0.352000	0.363722	
636	0.328616	115	0.139130	127	0.803150	122	0.352459	1.871430	636	0.328616	0.370000	0.363756	
607	0.317957	135	0.125926	110	0.854545	148	0.540541	1.871430	607	0.317957	0.384000	0.363864	
614	0.332248	120	0.141667	137	0.875912	129	0.589147	1.871430	614	0.332248	0.417000	0.364147	
638	0.313480	106	0.179245	134	0.865672	122	0.622951	1.871430	638	0.313480	0.411000	0.364395	
628	0.195860	114	0.122807	139	0.798561	119	0.596639	1.871430	628	0.195860	0.319000	0.364156	
627	0.315789	109	0.055046	132	0.795455	132	0.462121	1.449070	627	0.315789	0.370000	0.364187	
639	0.295775	115	0.086957	127	0.732283	119	0.487395	1.449070	639	0.295775	0.350000	0.364113	
650	0.312308	112	0.196429	103	0.786408	135	0.533333	1.449070	650	0.312308	0.378000	0.364185	
634	0.376972	96	0.062500	151	0.774834	119	0.630252	1.449070	634	0.376972	0.437000	0.364560	
627	0.328549	136	0.073529	125	0.752000	112	0.473214	1.449070	627	0.328549	0.363000	0.364552	
634	0.305994	130	0.107692	121	0.826446	115	0.565217	1.449070	634	0.305994	0.373000	0.364595	
651	0.354839	124	0.137097	100	0.810000	125	0.704000	1.449070	651	0.354839	0.417000	0.364861	
627	0.306220	117	0.025641	129	0.728682	127	0.582677	1.449070	627	0.306220	0.363000	0.364852	
646	0.383901	111	0.081081	135	0.770370	108	0.490741	1.449070	646	0.383901	0.414000	0.365099	
655	0.288550	100	0.110000	127	0.826772	118	0.694915	1.449070	655	0.288550	0.387000	0.365208	
630	0.282540	106	0.094340	125	0.800000	139	0.647482	1.449070	630	0.282540	0.378000	0.365272	
650	0.369231	110	0.090909	119	0.873950	121	0.677686	1.449070	650	0.369231	0.436000	0.365622	
637	0.412873	92	0.130435	126	0.801587	145	0.668966	1.449070	637	0.412873	0.473000	0.366151	
622	0.265273	115	0.208696	121	0.826446	142	0.598592	2.132184	622	0.265273	0.374000	0.366189	
618	0.239482	99	0.111111	124	0.822581	159	0.654088	2.132184	618	0.239482	0.365000	0.366184	
630	0.241270	130	0.092308	132	0.825758	108	0.453704	2.132184	630	0.241270	0.322000	0.365969	
617	0.213938	121	0.074380	130	0.846154	132	0.507576	2.132184	617	0.213938	0.318000	0.365737	
619	0.252019	139	0.100719	108	0.805556	134	0.529851	2.132184	619	0.252019	0.328000	0.365556	
615	0.315447	148	0.121622	126	0.888889	111	0.630631	2.132184	615	0.315447	0.394000	0.365692	
661	0.228442	113	0.115044	108	0.796296	118	0.483051	2.132184	661	0.228442	0.307000	0.365413	
654	0.301223	100	0.180000	131	0.847328	115	0.652174	2.132184	654	0.301223	0.401000	0.365581	
620	0.283871	108	0.111111	139	0.784173	133	0.541353	2.132184	620	0.283871	0.369000	0.365597	
632	0.276899	129	0.069767	109	0.807339	130	0.576923	2.132184	632	0.276899	0.347000	0.365510	
641	0.238690	120	0.175000	118	0.762712	121	0.685950	2.132184	641	0.238690	0.347000	0.365424	
663	0.244344	102	0.166667	110	0.790909	125	0.608000	2.132184	663	0.244344	0.342000	0.365315	
642	0.294393	103	0.145631	120	0.841667	135	0.525926	2.132184	642	0.294393	0.376000	0.365364	
624	0.306090	123	0.113821	113	0.823009	140	0.592857	2.132184	624	0.306090	0.381000	0.365436	
624	0.224359	108	0.120370	143	0.818182	125	0.528000	2.132184	624	0.224359	0.336000	0.365301	
614	0.250814	129	0.046512	139	0.776978	118	0.457627	2.132184	614	0.250814	0.322000	0.365103	
664	0.191265	117	0.128205	121	0.859504	98	0.479592	2.132184	664	0.191265	0.293000	0.364776	
650	0.372308	111	0.207207	121	0.859504	118	0.500000	1.352115	650	0.372308	0.428000	0.365062	
613	0.401305	137	0.131387	124	0.830645	126	0.579365	1.352115	613	0.401305	0.440000	0.365399	
607	0.392092	114	0.105263	150	0.780000	129	0.496124	1.432372	607	0.392092	0.431000	0.365693	
638	0.401254	106	0.113208	119	0.823529	137	0.598540	1.432372	638	0.401254	0.448000	0.366061	
616	0.264610	121	0.157025	138	0.833333	125	0.656000	1.647041	616	0.264610	0.379000	0.366118	
611	0.376432	99	0.101010	155	0.793548	135	0.570370	1.647041	611	0.376432	0.440000	0.366445	
632	0.327532	123	0.146341	138	0.782609	107	0.579439	1.647041	632	0.327532	0.395000	0.366571	
647	0.310665	100	0.180000	121	0.785124	132	0.590909	1.647041	647	0.310665	0.392000	0.366683	
653	0.366003	95	0.105263	134	0.783582	118	0.618644	1.647041	653	0.366003	0.427000	0.366946	
634	0.410095	121	0.148760	117	0.846154	128	0.648438	1.647041	634	0.410095	0.460000	0.367351	
640	0.223438	105	0.142857	129	0.837209	126	0.682540	2.683072	640	0.223438	0.352000	0.367284	
647	0.208655	96	0.114583	124	0.838710	133	0.533835	2.683072	647	0.208655	0.321000	0.367085	
640	0.234375	102	0.235294	135	0.837037	123	0.642276	2.683072	640	0.234375	0.366000	0.367080	
628	0.229299	115	0.173913	130	0.823077	127	0.677165	2.683072	628	0.229299	0.357000	0.367037	
639	0.201878	122	0.139344	133	0.796992	106	0.669811	2.683072	639	0.201878	0.323000	0.366850	
