Default schedule
Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
641	0.338534	99	0.131313	135	0.859259	125	0.672000	1.897968	641	0.338534	0.430000	0.382501	
633	0.311216	106	0.160377	137	0.773723	124	0.596774	1.897968	633	0.311216	0.394000	0.382614	
626	0.308307	93	0.129032	141	0.872340	140	0.785714	1.897968	626	0.308307	0.438000	0.383152	
633	0.271722	92	0.130435	130	0.807692	145	0.503448	1.897968	633	0.271722	0.362000	0.382948	
645	0.313178	101	0.158416	118	0.838983	136	0.544118	1.897968	645	0.313178	0.391000	0.383025	
637	0.304553	114	0.140351	111	0.900901	138	0.398551	1.897968	637	0.304553	0.365000	0.382855	
623	0.311396	110	0.081818	140	0.821429	127	0.716535	1.897968	623	0.311396	0.409000	0.383099	
655	0.319084	100	0.130000	113	0.761062	132	0.575758	1.897968	655	0.319084	0.384000	0.383108	
629	0.244833	109	0.192661	121	0.826446	141	0.524823	1.897968	629	0.244833	0.349000	0.382795	
622	0.311897	112	0.187500	126	0.785714	140	0.400000	1.897968	622	0.311897	0.370000	0.382678	
614	0.293160	113	0.106195	124	0.838710	149	0.637584	1.897968	614	0.293160	0.391000	0.382753	
648	0.330247	118	0.110169	112	0.812500	122	0.655738	1.897968	648	0.330247	0.398000	0.382889	
645	0.333333	90	0.111111	126	0.793651	139	0.575540	1.897968	645	0.333333	0.405000	0.383085	
639	0.284820	113	0.097345	131	0.809160	117	0.615385	1.897968	639	0.284820	0.371000	0.382979	
644	0.276398	111	0.171171	106	0.783019	139	0.633094	1.897968	644	0.276398	0.368000	0.382849	
621	0.243156	123	0.032520	131	0.824427	125	0.504000	1.897968	621	0.243156	0.326000	0.382359	
615	0.268293	120	0.191667	147	0.877551	118	0.491525	1.897968	615	0.268293	0.375000	0.382296	
647	0.310665	119	0.134454	107	0.775701	127	0.551181	1.897968	647	0.310665	0.370000	0.382192	
610	0.190164	113	0.115044	139	0.769784	138	0.536232	1.897968	610	0.190164	0.310000	0.381585	
615	0.255285	123	0.089431	136	0.830882	126	0.626984	1.660809	615	0.255285	0.360000	0.381405	
617	0.346840	125	0.152000	143	0.853147	115	0.608696	1.660809	617	0.346840	0.425000	0.381765	
601	0.317804	126	0.087302	132	0.803030	141	0.652482	1.660809	601	0.317804	0.400000	0.381915	
668	0.384731	93	0.118280	128	0.773438	111	0.666667	1.660809	668	0.384731	0.441000	0.382395	
620	0.343548	121	0.123967	140	0.835714	119	0.563025	1.660809	620	0.343548	0.412000	0.382634	
623	0.324238	108	0.185185	136	0.852941	133	0.533835	1.660809	623	0.324238	0.409000	0.382845	
643	0.323484	108	0.083333	124	0.830645	125	0.648000	1.660809	643	0.323484	0.401000	0.382989	
649	0.402157	118	0.127119	122	0.811475	111	0.621622	1.660809	649	0.402157	0.444000	0.383469	
618	0.313916	106	0.075472	141	0.787234	135	0.644444	1.686634	618	0.313916	0.400000	0.383599	
631	0.366086	86	0.186047	148	0.756757	135	0.570370	1.686634	631	0.366086	0.436000	0.384005	
628	0.356688	115	0.086957	107	0.841121	150	0.606667	1.686634	628	0.356688	0.415000	0.384243	
638	0.335423	113	0.123894	133	0.706767	116	0.431034	1.686634	638	0.335423	0.372000	0.384150	
626	0.309904	122	0.114754	126	0.825397	126	0.753968	1.686634	626	0.309904	0.407000	0.384323	
609	0.331691	104	0.153846	142	0.774648	145	0.468966	1.686634	609	0.331691	0.396000	0.384411	
644	0.372671	109	0.165138	141	0.822695	106	0.462264	1.686634	644	0.372671	0.423000	0.384699	
635	0.340157	113	0.176991	142	0.830986	110	0.563636	1.686634	635	0.340157	0.416000	0.384930	
637	0.335950	122	0.106557	121	0.842975	120	0.691667	1.686634	637	0.335950	0.412000	0.385130	
634	0.335962	116	0.163793	126	0.833333	124	0.572581	1.686634	634	0.335962	0.408000	0.385296	
646	0.376161	112	0.098214	130	0.815385	112	0.571429	1.686634	646	0.376161	0.424000	0.385577	
623	0.356340	111	0.135135	119	0.798319	147	0.585034	1.686634	623	0.356340	0.418000	0.385810	
627	0.366826	131	0.183206	124	0.774194	118	0.644068	1.686634	627	0.366826	0.426000	0.386097	
640	0.254688	114	0.052632	116	0.870690	130	0.592308	1.686634	640	0.254688	0.347000	0.385820	
637	0.401884	131	0.145038	119	0.806723	113	0.575221	1.686634	637	0.401884	0.436000	0.386173	
636	0.248428	114	0.157895	116	0.810345	134	0.574627	2.203389	636	0.248428	0.347000	0.385899	
628	0.253185	118	0.161017	117	0.794872	137	0.627737	2.203389	628	0.253185	0.357000	0.385699	
648	0.302469	114	0.184211	123	0.796748	115	0.547826	2.203389	648	0.302469	0.378000	0.385646	
630	0.276190	103	0.145631	129	0.744186	138	0.572464	2.203389	630	0.276190	0.364000	0.385497	
641	0.276131	143	0.153846	103	0.786408	113	0.601770	2.203389	641	0.276131	0.348000	0.385242	
625	0.236800	104	0.057692	130	0.815385	141	0.503546	2.203389	625	0.236800	0.331000	0.384876	
599	0.272120	129	0.131783	147	0.809524	125	0.608000	2.203389	599	0.272120	0.375000	0.384809	
