Steppingstone sampler:
        No Stones:                  100
        Start It:                   10100001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-3.192619	-3.192619
1	0.950747	7500	-3.152665	-6.345284
2	0.926679	7500	-3.103383	-9.448666
3	0.902980	7500	-3.062679	-12.511345
4	0.879648	7500	-3.010157	-15.521502
5	0.856682	7500	-2.967814	-18.489316
6	0.834079	7500	-2.919872	-21.409188
7	0.811838	7500	-2.889809	-24.298997
8	0.789957	7500	-2.836618	-27.135615
9	0.768433	7500	-2.795407	-29.931022
10	0.747266	7500	-2.741670	-32.672692
11	0.726452	7500	-2.702856	-35.375548
12	0.705989	7500	-2.662367	-38.037915
13	0.685877	7500	-2.612173	-40.650089
14	0.666112	7500	-2.567777	-43.217865
15	0.646693	7500	-2.519727	-45.737592
16	0.627618	7500	-2.483343	-48.220935
17	0.608884	7500	-2.447885	-50.668820
18	0.590490	7500	-2.395186	-53.064006
19	0.572433	7500	-2.354667	-55.418673
20	0.554712	7500	-2.317078	-57.735750
21	0.537324	7500	-2.270878	-60.006628
22	0.520268	7500	-2.228957	-62.235584
23	0.503540	7500	-2.183099	-64.418684
24	0.487139	7500	-2.143037	-66.561721
25	0.471063	7500	-2.105490	-68.667210
26	0.455310	7500	-2.077562	-70.744773
27	0.439877	7500	-2.021387	-72.766159
28	0.424762	7500	-1.988950	-74.755109
29	0.409963	7500	-1.940608	-76.695717
30	0.395478	7500	-1.896173	-78.591890
31	0.381305	7500	-1.870787	-80.462677
32	0.367440	7500	-1.829897	-82.292574
33	0.353883	7500	-1.790109	-84.082684
34	0.340630	7500	-1.743059	-85.825742
35	0.327680	7500	-1.719740	-87.545482
36	0.315030	7500	-1.685592	-89.231074
37	0.302677	7500	-1.636620	-90.867694
38	0.290619	7500	-1.594319	-92.462012
39	0.278855	7500	-1.577508	-94.039520
40	0.267381	7500	-1.534507	-95.574028
41	0.256195	7500	-1.489053	-97.063081
42	0.245294	7500	-1.459770	-98.522851
43	0.234677	7500	-1.414030	-99.936881
44	0.224340	7500	-1.379583	-101.316464
45	0.214281	7500	-1.342136	-102.658600
46	0.204498	7500	-1.324758	-103.983358
47	0.194988	7500	-1.277310	-105.260668
48	0.185749	7500	-1.249277	-106.509944
49	0.176777	7500	-1.230714	-107.740658
50	0.168070	7500	-1.193485	-108.934143
51	0.159626	7500	-1.146794	-110.080937
52	0.151441	7500	-1.116335	-111.197271
53	0.143514	7500	-1.082875	-112.280147
54	0.135841	7500	-1.049879	-113.330026
55	0.128420	7500	-1.014979	-114.345005
56	0.121247	7500	-0.993043	-115.338048
57	0.114320	7500	-0.965707	-116.303755
58	0.107637	7500	-0.927326	-117.231081
59	0.101193	7500	-0.888696	-118.119777
60	0.094986	7500	-0.868357	-118.988133
61	0.089014	7500	-0.838239	-119.826373
62	0.083273	7500	-0.804556	-120.630929
63	0.077760	7500	-0.786158	-121.417087
64	0.072472	7500	-0.744538	-122.161625
65	0.067406	7500	-0.724392	-122.886016
66	0.062558	7500	-0.696174	-123.582191
67	0.057926	7500	-0.677433	-124.259624
68	0.053506	7500	-0.652905	-124.912529
69	0.049295	7500	-0.617245	-125.529774
70	0.045289	7500	-0.586427	-126.116201
71	0.041485	7500	-0.560005	-126.676206
72	0.037880	7500	-0.543923	-127.220130
73	0.034469	7500	-0.506934	-127.727064
74	0.031250	7500	-0.487606	-128.214670
75	0.028218	7500	-0.463553	-128.678223
76	0.025370	7500	-0.438843	-129.117066
77	0.022702	7500	-0.414378	-129.531444
78	0.020209	7500	-0.399208	-129.930652
79	0.017889	7500	-0.379441	-130.310094
80	0.015736	7500	-0.340379	-130.650473
81	0.013746	7500	-0.324865	-130.975338
82	0.011916	7500	-0.319469	-131.294806
83	0.010240	7500	-0.281412	-131.576218
84	0.008714	7500	-0.272309	-131.848527
85	0.007334	7500	-0.265861	-132.114388
86	0.006093	7500	-0.253734	-132.368122
87	0.004988	7500	-0.215617	-132.583739
88	0.004013	7500	-0.234153	-132.817893
89	0.003162	7500	-0.199120	-133.017013
90	0.002430	7500	-0.159648	-133.176661
91	0.001810	7500	-0.178299	-133.354960
92	0.001296	7500	-0.123146	-133.478106
93	0.000882	7500	-0.105816	-133.583922
94	0.000559	7500	-0.083807	-133.667728
95	0.000320	7500	-0.063883	-133.731612
96	0.000156	7500	-0.048505	-133.780116
97	0.000057	7500	-0.024269	-133.804385
98	0.000010	7500	-0.012646	-133.817031
99	0.000000	7500	-0.002765	-133.819796
Log marginal likelihood:	-133.819796
