Steppingstone sampler:
        No Stones:                  100
        Start It:                   10100001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-2.905517	-2.905517
1	0.950747	7500	-2.869482	-5.774999
2	0.926679	7500	-2.808473	-8.583472
3	0.902980	7500	-2.790984	-11.374456
4	0.879648	7500	-2.753815	-14.128271
5	0.856682	7500	-2.693171	-16.821442
6	0.834079	7500	-2.655751	-19.477193
7	0.811838	7500	-2.618522	-22.095715
8	0.789957	7500	-2.570212	-24.665927
9	0.768433	7500	-2.530902	-27.196829
10	0.747266	7500	-2.487293	-29.684123
11	0.726452	7500	-2.456802	-32.140925
12	0.705989	7500	-2.430858	-34.571783
13	0.685877	7500	-2.379818	-36.951601
14	0.666112	7500	-2.348163	-39.299764
15	0.646693	7500	-2.282434	-41.582198
16	0.627618	7500	-2.288985	-43.871183
17	0.608884	7500	-2.234429	-46.105612
18	0.590490	7500	-2.183338	-48.288951
19	0.572433	7500	-2.168609	-50.457560
20	0.554712	7500	-2.116155	-52.573714
21	0.537324	7500	-2.078512	-54.652227
22	0.520268	7500	-2.040640	-56.692867
23	0.503540	7500	-1.991325	-58.684192
24	0.487139	7500	-1.951809	-60.636001
25	0.471063	7500	-1.923277	-62.559277
26	0.455310	7500	-1.879284	-64.438562
27	0.439877	7500	-1.850446	-66.289007
28	0.424762	7500	-1.819381	-68.108388
29	0.409963	7500	-1.781655	-69.890043
30	0.395478	7500	-1.738803	-71.628847
31	0.381305	7500	-1.716095	-73.344942
32	0.367440	7500	-1.674162	-75.019104
33	0.353883	7500	-1.635559	-76.654663
34	0.340630	7500	-1.618120	-78.272783
35	0.327680	7500	-1.578076	-79.850859
36	0.315030	7500	-1.541504	-81.392363
37	0.302677	7500	-1.501301	-82.893664
38	0.290619	7500	-1.480519	-84.374183
39	0.278855	7500	-1.444819	-85.819003
40	0.267381	7500	-1.403820	-87.222823
41	0.256195	7500	-1.365253	-88.588076
42	0.245294	7500	-1.347508	-89.935584
43	0.234677	7500	-1.305216	-91.240800
44	0.224340	7500	-1.280571	-92.521372
45	0.214281	7500	-1.243316	-93.764687
46	0.204498	7500	-1.208242	-94.972929
47	0.194988	7500	-1.203319	-96.176249
48	0.185749	7500	-1.157325	-97.333574
49	0.176777	7500	-1.136598	-98.470171
50	0.168070	7500	-1.082097	-99.552269
51	0.159626	7500	-1.056523	-100.608791
52	0.151441	7500	-1.020105	-101.628896
53	0.143514	7500	-1.002732	-102.631628
54	0.135841	7500	-0.974098	-103.605726
55	0.128420	7500	-0.967047	-104.572773
56	0.121247	7500	-0.908571	-105.481344
57	0.114320	7500	-0.886857	-106.368201
58	0.107637	7500	-0.850902	-107.219103
59	0.101193	7500	-0.842268	-108.061371
60	0.094986	7500	-0.791425	-108.852796
61	0.089014	7500	-0.779504	-109.632300
62	0.083273	7500	-0.749794	-110.382094
63	0.077760	7500	-0.717119	-111.099214
64	0.072472	7500	-0.698865	-111.798079
65	0.067406	7500	-0.688366	-112.486445
66	0.062558	7500	-0.643867	-113.130312
67	0.057926	7500	-0.618347	-113.748658
68	0.053506	7500	-0.611012	-114.359670
69	0.049295	7500	-0.575020	-114.934690
70	0.045289	7500	-0.560530	-115.495220
71	0.041485	7500	-0.548529	-116.043749
72	0.037880	7500	-0.510618	-116.554367
73	0.034469	7500	-0.489366	-117.043733
74	0.031250	7500	-0.467709	-117.511441
75	0.028218	7500	-0.439547	-117.950989
76	0.025370	7500	-0.430412	-118.381400
77	0.022702	7500	-0.398067	-118.779467
78	0.020209	7500	-0.387868	-119.167335
79	0.017889	7500	-0.376010	-119.543345
80	0.015736	7500	-0.360918	-119.904262
81	0.013746	7500	-0.321227	-120.225489
82	0.011916	7500	-0.309816	-120.535305
83	0.010240	7500	-0.281570	-120.816875
84	0.008714	7500	-0.268107	-121.084982
85	0.007334	7500	-0.265415	-121.350397
86	0.006093	7500	-0.226779	-121.577176
87	0.004988	7500	-0.209561	-121.786737
88	0.004013	7500	-0.201880	-121.988617
89	0.003162	7500	-0.194607	-122.183224
90	0.002430	7500	-0.175199	-122.358423
91	0.001810	7500	-0.158694	-122.517117
92	0.001296	7500	-0.109785	-122.626902
93	0.000882	7500	-0.087132	-122.714034
94	0.000559	7500	-0.078598	-122.792631
95	0.000320	7500	-0.066061	-122.858692
96	0.000156	7500	-0.040331	-122.899023
97	0.000057	7500	-0.023478	-122.922501
98	0.000010	7500	-0.012233	-122.934734
99	0.000000	7500	-0.002332	-122.937065
Log marginal likelihood:	-122.937065
