Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_alt_pol.bin3.txt
Log File Name:                   DEP_pol3_alt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3245969453
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_pol3_alt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
101000	-111.827307	950	1	1	'0 0 0 Z 0 0 0 0 	D	0.109798	0.109798	0.109798	0.000000	0.109798	0.109798	0.109798	0.109798	0.021556	0.000155	0.958537	0.019751	0.326030	
102000	-114.168714	215	1	1	'0 0 0 0 0 0 Z 0 	D	0.064364	0.064364	0.064364	0.064364	0.064364	0.064364	0.000000	0.064364	0.013071	0.000178	0.972156	0.014595	0.196850	
103000	-113.778279	904	1	1	'0 0 Z 0 0 0 0 0 	D	0.048681	0.048681	0.000000	0.048681	0.048681	0.048681	0.048681	0.048681	0.000448	0.000000	0.999463	0.000089	0.084253	
104000	-111.597384	46	1	1	'0 0 0 Z 0 0 0 0 	D	0.078890	0.078890	0.078890	0.000000	0.078890	0.078890	0.078890	0.078890	0.010085	0.000031	0.980000	0.009884	0.051763	
105000	-113.464161	158	1	1	'0 0 0 0 0 Z 0 0 	D	0.075976	0.075976	0.075976	0.075976	0.075976	0.000000	0.075976	0.075976	0.027157	0.000014	0.972381	0.000449	0.321012	
106000	-111.161522	940	1	2	'0 0 0 0 Z Z 0 0 	D	0.113896	0.113896	0.113896	0.113896	0.000000	0.000000	0.113896	0.113896	0.992412	0.002361	0.000013	0.005214	0.270885	
107000	-110.210053	92	1	1	'0 0 0 0 0 Z 0 0 	D	0.125386	0.125386	0.125386	0.125386	0.125386	0.000000	0.125386	0.125386	0.157421	0.001385	0.834845	0.006349	0.307894	
108000	-115.089841	670	1	3	'0 0 Z 0 0 0 Z Z 	D	0.089156	0.089156	0.000000	0.089156	0.089156	0.089156	0.000000	0.000000	0.042771	0.000000	0.957229	0.000000	0.162793	
109000	-112.446329	209	1	2	'0 0 Z Z 0 0 0 0 	D	0.075332	0.075332	0.000000	0.000000	0.075332	0.075332	0.075332	0.075332	0.003475	0.000000	0.993285	0.003240	0.044107	
110000	-112.138032	458	1	2	'0 0 0 0 Z Z 0 0 	D	0.139163	0.139163	0.139163	0.139163	0.000000	0.000000	0.139163	0.139163	0.963919	0.027918	0.000040	0.008124	0.337492	
111000	-114.686825	820	1	2	'0 0 Z 0 0 Z 0 0 	D	0.156076	0.156076	0.000000	0.156076	0.156076	0.000000	0.156076	0.156076	0.063502	0.000007	0.931224	0.005267	0.059724	
112000	-115.426946	55	1	2	'0 0 Z Z 0 0 0 0 	D	0.058499	0.058499	0.000000	0.000000	0.058499	0.058499	0.058499	0.058499	0.004145	0.000000	0.991734	0.004121	0.366905	
113000	-110.647371	534	1	1	'0 0 0 0 0 Z 0 0 	D	0.130163	0.130163	0.130163	0.130163	0.130163	0.000000	0.130163	0.130163	0.054725	0.000521	0.938821	0.005933	0.491986	
114000	-109.656567	990	1	1	'0 0 0 0 0 Z 0 0 	D	0.142104	0.142104	0.142104	0.142104	0.142104	0.000000	0.142104	0.142104	0.080023	0.002558	0.894154	0.023265	0.160062	
115000	-113.263501	933	1	2	'0 0 0 0 Z Z 0 0 	D	0.153713	0.153713	0.153713	0.153713	0.000000	0.000000	0.153713	0.153713	0.979251	0.011059	0.000027	0.009664	0.272638	
116000	-108.862520	257	1	1	'0 0 0 0 0 Z 0 0 	D	0.112343	0.112343	0.112343	0.112343	0.112343	0.000000	0.112343	0.112343	0.051279	0.001161	0.929777	0.017783	0.079747	
117000	-110.868462	531	1	1	'0 0 0 0 0 Z 0 0 	D	0.084551	0.084551	0.084551	0.084551	0.084551	0.000000	0.084551	0.084551	0.027683	0.000289	0.963059	0.008970	0.292529	
118000	-112.960768	551	1	1	'0 0 0 Z 0 0 0 0 	D	0.094031	0.094031	0.094031	0.000000	0.094031	0.094031	0.094031	0.094031	0.012249	0.000048	0.976059	0.011644	0.154949	
119000	-113.833307	298	1	2	'0 0 Z Z 0 0 0 0 	D	0.059551	0.059551	0.000000	0.000000	0.059551	0.059551	0.059551	0.059551	0.001303	0.000000	0.997415	0.001282	0.313906	
120000	-113.059952	281	1	2	'0 0 Z Z 0 0 0 0 	D	0.089456	0.089456	0.000000	0.000000	0.089456	0.089456	0.089456	0.089456	0.002479	0.000000	0.995156	0.002365	0.424551	
121000	-111.693993	360	1	1	'0 0 0 Z 0 0 0 0 	D	0.069024	0.069024	0.069024	0.000000	0.069024	0.069024	0.069024	0.069024	0.006641	0.000013	0.986789	0.006557	0.422418	
122000	-112.715076	212	1	0	'0 0 0 0 0 0 0 0 	I	0.082564	0.082564	0.082564	0.082564	0.082564	0.082564	0.082564	0.082564	0.003195	0.000006	0.994826	0.001973	0.143701	
123000	-111.179760	469	1	1	'0 0 0 Z 0 0 0 0 	D	0.089228	0.089228	0.089228	0.000000	0.089228	0.089228	0.089228	0.089228	0.003532	0.000002	0.993499	0.002967	0.268922	
124000	-111.389445	814	1	1	'0 0 0 0 0 Z 0 0 	D	0.106401	0.106401	0.106401	0.106401	0.106401	0.000000	0.106401	0.106401	0.046369	0.001060	0.933748	0.018823	0.379651	
125000	-108.764091	333	1	2	'0 0 0 0 Z Z 0 0 	D	0.133166	0.133166	0.133166	0.133166	0.000000	0.000000	0.133166	0.133166	0.968236	0.014691	0.000003	0.017069	0.164436	
126000	-108.545380	661	1	2	'0 0 0 0 Z Z 0 0 	D	0.097491	0.097491	0.097491	0.097491	0.000000	0.000000	0.097491	0.097491	0.981829	0.009845	0.000002	0.008324	0.178635	
127000	-110.018339	661	1	4	'0 0 Z 0 Z Z Z 0 	D	0.118794	0.118794	0.000000	0.118794	0.000000	0.000000	0.000000	0.118794	0.999998	0.000000	0.000002	0.000000	0.074251	
128000	-112.161214	44	1	1	'0 0 0 0 0 0 Z 0 	D	0.080936	0.080936	0.080936	0.080936	0.080936	0.080936	0.000000	0.080936	0.013074	0.000113	0.977410	0.009403	0.091353	
129000	-115.258687	382	1	1	'0 0 0 0 0 0 Z 0 	D	0.079462	0.079462	0.079462	0.079462	0.079462	0.079462	0.000000	0.079462	0.017360	0.000021	0.981327	0.001292	0.349487	
130000	-113.153605	28	1	2	'0 0 Z Z 0 0 0 0 	D	0.062509	0.062509	0.000000	0.000000	0.062509	0.062509	0.062509	0.062509	0.008947	0.000000	0.982139	0.008915	0.055124	
131000	-113.989260	360	1	1	'0 0 0 0 0 0 0 Z 	D	0.068277	0.068277	0.068277	0.068277	0.068277	0.068277	0.068277	0.000000	0.007056	0.000013	0.992931	0.000000	0.065026	
132000	-110.210284	595	1	1	'0 0 0 0 0 Z 0 0 	D	0.122774	0.122774	0.122774	0.122774	0.122774	0.000000	0.122774	0.122774	0.049189	0.000657	0.939435	0.010720	0.092682	
133000	-111.067711	781	1	1	'0 0 0 0 0 Z 0 0 	D	0.142953	0.142953	0.142953	0.142953	0.142953	0.000000	0.142953	0.142953	0.097538	0.005701	0.854194	0.042567	0.397278	
134000	-109.317663	323	1	1	'0 0 0 0 0 Z 0 0 	D	0.130198	0.130198	0.130198	0.130198	0.130198	0.000000	0.130198	0.130198	0.070472	0.000355	0.926040	0.003133	0.063226	
135000	-110.347498	296	1	1	'0 0 0 0 0 Z 0 0 	D	0.134523	0.134523	0.134523	0.134523	0.134523	0.000000	0.134523	0.134523	0.086243	0.000284	0.911260	0.002213	0.160775	
136000	-111.716608	766	1	1	'0 0 0 0 0 Z 0 0 	D	0.096948	0.096948	0.096948	0.096948	0.096948	0.000000	0.096948	0.096948	0.050038	0.000529	0.940571	0.008862	0.195106	
137000	-114.112857	685	1	1	'0 0 Z 0 0 0 0 0 	D	0.086533	0.086533	0.000000	0.086533	0.086533	0.086533	0.086533	0.086533	0.010508	0.000029	0.979774	0.009689	0.117150	
138000	-110.766619	987	1	1	'0 0 0 0 0 Z 0 0 	D	0.147641	0.147641	0.147641	0.147641	0.147641	0.000000	0.147641	0.147641	0.131587	0.001981	0.855733	0.010699	0.137093	
139000	-113.075102	591	1	2	'0 0 Z 0 0 Z 0 0 	D	0.090799	0.090799	0.000000	0.090799	0.090799	0.000000	0.090799	0.090799	0.021332	0.000000	0.978111	0.000558	0.066580	
140000	-109.921808	635	1	1	'0 0 0 0 0 Z 0 0 	D	0.122461	0.122461	0.122461	0.122461	0.122461	0.000000	0.122461	0.122461	0.068878	0.000165	0.929225	0.001733	0.371528	
141000	-111.832011	191	1	1	'0 0 0 0 0 Z 0 0 	D	0.085419	0.085419	0.085419	0.085419	0.085419	0.000000	0.085419	0.085419	0.124104	0.000163	0.874700	0.001033	0.226889	
142000	-111.438257	850	1	0	'0 0 0 0 0 0 0 0 	I	0.079973	0.079973	0.079973	0.079973	0.079973	0.079973	0.079973	0.079973	0.010024	0.000079	0.982143	0.007753	0.274293	
143000	-112.560485	333	1	0	'0 0 0 0 0 0 0 0 	I	0.091287	0.091287	0.091287	0.091287	0.091287	0.091287	0.091287	0.091287	0.084966	0.000576	0.908299	0.006159	0.339474	
144000	-112.024828	947	1	2	'0 0 0 0 Z Z 0 0 	D	0.097547	0.097547	0.097547	0.097547	0.000000	0.000000	0.097547	0.097547	0.988509	0.003192	0.000006	0.008292	0.422227	
