Default schedule
Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
612	0.334967	130	0.061538	132	0.787879	126	0.547619	1.867778	612	0.334967	0.386000	0.385709	
633	0.287520	127	0.062992	122	0.778689	118	0.516949	1.867778	633	0.287520	0.346000	0.385320	
643	0.334370	118	0.033898	116	0.818966	123	0.544715	1.867778	643	0.334370	0.381000	0.385278	
624	0.320513	114	0.087719	117	0.854701	145	0.641379	1.867778	624	0.320513	0.403000	0.385448	
614	0.296417	123	0.048780	131	0.870229	132	0.575758	1.867778	614	0.296417	0.378000	0.385377	
651	0.296467	135	0.059259	97	0.824742	117	0.649573	1.867778	651	0.296467	0.357000	0.385110	
649	0.326656	123	0.081301	118	0.805085	110	0.627273	1.867778	649	0.326656	0.386000	0.385118	
636	0.256289	139	0.071942	113	0.823009	112	0.678571	1.867778	636	0.256289	0.342000	0.384719	
622	0.319936	116	0.112069	128	0.812500	134	0.589552	1.867778	622	0.319936	0.395000	0.384813	
628	0.316879	109	0.128440	123	0.796748	140	0.578571	1.867778	628	0.316879	0.392000	0.384878	
619	0.319871	127	0.102362	113	0.814159	141	0.560284	1.867778	619	0.319871	0.382000	0.384852	
611	0.274959	135	0.074074	124	0.862903	130	0.561538	1.867778	611	0.274959	0.358000	0.384613	
649	0.280431	117	0.051282	110	0.772727	124	0.645161	1.867778	649	0.280431	0.353000	0.384333	
632	0.324367	123	0.097561	128	0.796875	117	0.658120	1.867778	632	0.324367	0.396000	0.384435	
612	0.245098	138	0.086957	122	0.836066	128	0.460938	1.867778	612	0.245098	0.323000	0.383901	
635	0.338583	118	0.084746	129	0.860465	118	0.601695	1.867778	635	0.338583	0.407000	0.384100	
637	0.337520	117	0.051282	115	0.843478	131	0.618321	1.867778	637	0.337520	0.399000	0.384227	
604	0.279801	139	0.057554	111	0.819820	146	0.643836	1.867778	604	0.279801	0.362000	0.384039	
609	0.293924	141	0.085106	116	0.862069	134	0.567164	1.867778	609	0.293924	0.367000	0.383896	
647	0.323029	97	0.082474	131	0.816794	125	0.416000	1.867778	647	0.323029	0.376000	0.383830	
591	0.309645	139	0.086331	138	0.768116	132	0.469697	1.867778	591	0.309645	0.363000	0.383658	
612	0.326797	130	0.061538	127	0.842520	131	0.534351	1.867778	612	0.326797	0.385000	0.383669	
638	0.344828	114	0.105263	114	0.833333	134	0.656716	1.867778	638	0.344828	0.415000	0.383924	
628	0.300955	127	0.125984	118	0.881356	127	0.716535	1.867778	628	0.300955	0.400000	0.384053	
646	0.269350	106	0.084906	136	0.816176	112	0.625000	1.867778	646	0.269350	0.364000	0.383893	
641	0.308892	117	0.094017	125	0.848000	117	0.623932	1.867778	641	0.308892	0.388000	0.383926	
616	0.344156	116	0.025862	136	0.816176	132	0.606061	1.867778	616	0.344156	0.406000	0.384099	
607	0.308072	143	0.062937	119	0.773109	131	0.725191	1.867778	607	0.308072	0.383000	0.384091	
578	0.340830	145	0.068966	138	0.826087	139	0.640288	1.867778	578	0.340830	0.410000	0.384292	
611	0.327332	126	0.047619	143	0.818182	120	0.591667	1.867778	611	0.327332	0.394000	0.384366	
612	0.375817	122	0.081967	136	0.823529	130	0.607692	1.867778	612	0.375817	0.431000	0.384722	
631	0.345483	121	0.057851	135	0.851852	113	0.654867	1.867778	631	0.345483	0.414000	0.384944	
630	0.314286	102	0.107843	142	0.838028	126	0.595238	1.867778	630	0.314286	0.403000	0.385080	
626	0.271565	108	0.101852	139	0.841727	127	0.566929	1.867778	626	0.271565	0.370000	0.384967	
612	0.316993	131	0.061069	130	0.853846	127	0.433071	1.867778	612	0.316993	0.368000	0.384842	
628	0.292994	130	0.084615	116	0.810345	126	0.650794	1.867778	628	0.292994	0.371000	0.384740	
616	0.282468	147	0.108844	120	0.833333	117	0.589744	1.867778	616	0.282468	0.359000	0.384552	
595	0.332773	134	0.074627	128	0.765625	143	0.734266	1.867778	595	0.332773	0.411000	0.384744	
626	0.340256	127	0.125984	128	0.820312	119	0.630252	1.867778	626	0.340256	0.409000	0.384918	
613	0.326264	141	0.127660	121	0.851240	125	0.480000	1.867778	613	0.326264	0.381000	0.384890	
637	0.273155	121	0.082645	108	0.851852	134	0.664179	1.867778	637	0.273155	0.365000	0.384749	
595	0.329412	136	0.080882	128	0.804688	141	0.687943	1.867778	595	0.329412	0.407000	0.384906	
592	0.297297	151	0.086093	133	0.857143	124	0.580645	1.867778	592	0.297297	0.375000	0.384836	
614	0.307818	140	0.114286	120	0.783333	126	0.595238	1.867778	614	0.307818	0.374000	0.384761	
