Steppingstone sampler:
        No Stones:                  100
        Start It:                   10100001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-3.470895	-3.470895
1	0.950747	7500	-3.421526	-6.892420
2	0.926679	7500	-3.375308	-10.267728
3	0.902980	7500	-3.318488	-13.586216
4	0.879648	7500	-3.272833	-16.859049
5	0.856682	7500	-3.219207	-20.078256
6	0.834079	7500	-3.170143	-23.248398
7	0.811838	7500	-3.122527	-26.370925
8	0.789957	7500	-3.076174	-29.447099
9	0.768433	7500	-3.023339	-32.470439
10	0.747266	7500	-2.972534	-35.442973
11	0.726452	7500	-2.928106	-38.371079
12	0.705989	7500	-2.878787	-41.249866
13	0.685877	7500	-2.834622	-44.084487
14	0.666112	7500	-2.780662	-46.865150
15	0.646693	7500	-2.730861	-49.596011
16	0.627618	7500	-2.687328	-52.283339
17	0.608884	7500	-2.635232	-54.918571
18	0.590490	7500	-2.591050	-57.509621
19	0.572433	7500	-2.545255	-60.054876
20	0.554712	7500	-2.498214	-62.553090
21	0.537324	7500	-2.452630	-65.005720
22	0.520268	7500	-2.408191	-67.413911
23	0.503540	7500	-2.367932	-69.781844
24	0.487139	7500	-2.317583	-72.099427
25	0.471063	7500	-2.270395	-74.369822
26	0.455310	7500	-2.227944	-76.597766
27	0.439877	7500	-2.189112	-78.786878
28	0.424762	7500	-2.135342	-80.922220
29	0.409963	7500	-2.099012	-83.021232
30	0.395478	7500	-2.055185	-85.076417
31	0.381305	7500	-2.008289	-87.084706
32	0.367440	7500	-1.962943	-89.047649
33	0.353883	7500	-1.925620	-90.973269
34	0.340630	7500	-1.882922	-92.856191
35	0.327680	7500	-1.843037	-94.699228
36	0.315030	7500	-1.802761	-96.501989
37	0.302677	7500	-1.760372	-98.262361
38	0.290619	7500	-1.717533	-99.979893
39	0.278855	7500	-1.677853	-101.657746
40	0.267381	7500	-1.639112	-103.296858
41	0.256195	7500	-1.600245	-104.897102
42	0.245294	7500	-1.566889	-106.463991
43	0.234677	7500	-1.531097	-107.995088
44	0.224340	7500	-1.483197	-109.478285
45	0.214281	7500	-1.443719	-110.922004
46	0.204498	7500	-1.411067	-112.333071
47	0.194988	7500	-1.371508	-113.704578
48	0.185749	7500	-1.334363	-115.038942
49	0.176777	7500	-1.293172	-116.332114
50	0.168070	7500	-1.258703	-117.590816
51	0.159626	7500	-1.229626	-118.820443
52	0.151441	7500	-1.189859	-120.010302
53	0.143514	7500	-1.155093	-121.165395
54	0.135841	7500	-1.117915	-122.283309
55	0.128420	7500	-1.088106	-123.371416
56	0.121247	7500	-1.060038	-124.431453
57	0.114320	7500	-1.019011	-125.450464
58	0.107637	7500	-0.994431	-126.444895
59	0.101193	7500	-0.956025	-127.400920
60	0.094986	7500	-0.922802	-128.323722
61	0.089014	7500	-0.895704	-129.219427
62	0.083273	7500	-0.864795	-130.084221
63	0.077760	7500	-0.838335	-130.922556
64	0.072472	7500	-0.800489	-131.723046
65	0.067406	7500	-0.769904	-132.492950
66	0.062558	7500	-0.740098	-133.233048
67	0.057926	7500	-0.704508	-133.937557
68	0.053506	7500	-0.679679	-134.617236
69	0.049295	7500	-0.659081	-135.276317
70	0.045289	7500	-0.622716	-135.899033
71	0.041485	7500	-0.594465	-136.493498
72	0.037880	7500	-0.569066	-137.062564
73	0.034469	7500	-0.535073	-137.597637
74	0.031250	7500	-0.514471	-138.112108
75	0.028218	7500	-0.490422	-138.602530
76	0.025370	7500	-0.461234	-139.063764
77	0.022702	7500	-0.439553	-139.503317
78	0.020209	7500	-0.415511	-139.918828
79	0.017889	7500	-0.393248	-140.312076
80	0.015736	7500	-0.359040	-140.671116
81	0.013746	7500	-0.347595	-141.018711
82	0.011916	7500	-0.327395	-141.346105
83	0.010240	7500	-0.301508	-141.647614
84	0.008714	7500	-0.275342	-141.922955
85	0.007334	7500	-0.268673	-142.191628
86	0.006093	7500	-0.249854	-142.441482
87	0.004988	7500	-0.215097	-142.656578
88	0.004013	7500	-0.214515	-142.871094
89	0.003162	7500	-0.194941	-143.066035
90	0.002430	7500	-0.165565	-143.231599
91	0.001810	7500	-0.145451	-143.377050
92	0.001296	7500	-0.123580	-143.500630
93	0.000882	7500	-0.102688	-143.603318
94	0.000559	7500	-0.082374	-143.685692
95	0.000320	7500	-0.058833	-143.744525
96	0.000156	7500	-0.042083	-143.786608
97	0.000057	7500	-0.027126	-143.813734
98	0.000010	7500	-0.012080	-143.825814
99	0.000000	7500	-0.002655	-143.828470
Log marginal likelihood:	-143.828470
