Default schedule
Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
629	0.329094	115	0.069565	140	0.792857	116	0.508621	1.854500	629	0.329094	0.385000	0.381264	
633	0.306477	103	0.058252	135	0.896296	129	0.589147	1.854500	633	0.306477	0.397000	0.381418	
613	0.293638	134	0.089552	120	0.825000	133	0.646617	1.854500	613	0.293638	0.377000	0.381375	
595	0.315966	123	0.081301	142	0.781690	140	0.792857	1.854500	595	0.315966	0.420000	0.381746	
635	0.341732	126	0.015873	130	0.830769	109	0.623853	1.854500	635	0.341732	0.395000	0.381873	
616	0.362013	121	0.049587	126	0.833333	137	0.715328	1.854500	616	0.362013	0.432000	0.382345	
631	0.375594	148	0.054054	112	0.785714	109	0.642202	1.854500	631	0.375594	0.403000	0.382538	
610	0.336066	171	0.070175	114	0.885965	105	0.571429	1.854500	610	0.336066	0.378000	0.382496	
615	0.276423	115	0.069565	125	0.824000	145	0.675862	1.854500	615	0.276423	0.379000	0.382464	
653	0.264931	115	0.113043	116	0.810345	116	0.672414	1.854500	653	0.264931	0.358000	0.382242	
633	0.319115	110	0.136364	130	0.861538	127	0.456693	1.854500	633	0.319115	0.387000	0.382285	
634	0.293375	134	0.074627	105	0.800000	127	0.582677	1.854500	634	0.293375	0.354000	0.382032	
621	0.354267	136	0.044118	114	0.798246	129	0.581395	1.854500	621	0.354267	0.392000	0.382121	
632	0.294304	118	0.067797	112	0.812500	138	0.608696	1.854500	632	0.294304	0.369000	0.382005	
620	0.295161	120	0.050000	123	0.861789	137	0.686131	1.854500	620	0.295161	0.389000	0.382066	
621	0.305958	127	0.094488	133	0.812030	119	0.529412	1.854500	621	0.305958	0.373000	0.381988	
647	0.306028	107	0.037383	104	0.807692	142	0.746479	1.854500	647	0.306028	0.392000	0.382074	
658	0.346505	113	0.061947	107	0.766355	122	0.622951	1.854500	658	0.346505	0.393000	0.382166	
639	0.320814	115	0.060870	116	0.870690	130	0.753846	1.854500	639	0.320814	0.411000	0.382409	
674	0.362018	99	0.040404	108	0.824074	119	0.605042	1.854500	674	0.362018	0.409000	0.382630	
666	0.304805	122	0.065574	118	0.872881	94	0.670213	1.854500	666	0.304805	0.377000	0.382584	
648	0.310185	129	0.069767	129	0.844961	94	0.670213	1.854500	648	0.310185	0.382000	0.382579	
648	0.280864	119	0.092437	121	0.793388	112	0.526786	1.854500	648	0.280864	0.348000	0.382298	
617	0.314425	113	0.070796	145	0.848276	125	0.672000	1.854500	617	0.314425	0.409000	0.382513	
630	0.353968	127	0.055118	119	0.815126	124	0.685484	1.854500	630	0.353968	0.412000	0.382749	
599	0.308848	130	0.084615	144	0.854167	127	0.566929	1.854500	599	0.308848	0.391000	0.382814	
600	0.323333	148	0.027027	130	0.838462	122	0.590164	1.854500	600	0.323333	0.379000	0.382784	
630	0.303175	122	0.081967	119	0.823529	129	0.666667	1.854500	630	0.303175	0.385000	0.382802	
629	0.306836	122	0.049180	123	0.878049	126	0.650794	1.854500	629	0.306836	0.389000	0.382850	
638	0.347962	111	0.117117	136	0.845588	115	0.608696	1.854500	638	0.347962	0.420000	0.383136	
605	0.310744	134	0.141791	125	0.784000	136	0.735294	1.854500	605	0.310744	0.405000	0.383302	
622	0.295820	119	0.100840	126	0.777778	133	0.706767	1.854500	622	0.295820	0.388000	0.383338	
628	0.318471	116	0.094828	130	0.846154	126	0.682540	1.854500	628	0.318471	0.407000	0.383516	
602	0.317276	129	0.046512	149	0.838926	120	0.625000	1.854500	602	0.317276	0.397000	0.383617	
625	0.331200	125	0.056000	119	0.815126	131	0.656489	1.854500	625	0.331200	0.397000	0.383716	
596	0.315436	129	0.062016	134	0.791045	141	0.581560	1.854500	596	0.315436	0.384000	0.383718	
625	0.316800	126	0.055556	118	0.813559	131	0.717557	1.854500	625	0.316800	0.395000	0.383800	
643	0.359253	134	0.082090	105	0.800000	118	0.694915	1.854500	643	0.359253	0.408000	0.383975	
624	0.285256	138	0.028986	129	0.844961	109	0.697248	1.854500	624	0.285256	0.367000	0.383853	
603	0.344942	137	0.080292	108	0.787037	152	0.664474	1.854500	603	0.344942	0.405000	0.384004	
615	0.289431	128	0.078125	112	0.866071	145	0.634483	1.854500	615	0.289431	0.377000	0.383955	
620	0.308065	134	0.037313	120	0.758333	126	0.603175	1.854500	620	0.308065	0.363000	0.383807	
606	0.311881	151	0.079470	113	0.884956	130	0.738462	1.854500	606	0.311881	0.397000	0.383899	
611	0.304419	132	0.045455	138	0.833333	119	0.638655	1.854500	611	0.304419	0.383000	0.383893	
621	0.288245	129	0.155039	123	0.845528	127	0.677165	1.854500	621	0.288245	0.389000	0.383928	
612	0.315359	119	0.067227	137	0.781022	132	0.689394	1.854500	612	0.315359	0.399000	0.384032	
631	0.282092	110	0.072727	136	0.757353	123	0.536585	1.854500	631	0.282092	0.355000	0.383834	
638	0.282132	113	0.017699	122	0.811475	127	0.629921	1.854500	638	0.282132	0.361000	0.383680	
663	0.322775	116	0.077586	110	0.845455	111	0.711712	1.854500	663	0.322775	0.395000	0.383756	
639	0.305164	114	0.096491	103	0.796117	144	0.625000	1.854500	639	0.305164	0.378000	0.383717	
631	0.356577	124	0.032258	131	0.778626	114	0.684211	1.854500	631	0.356577	0.409000	0.383885	
629	0.319555	138	0.072464	115	0.826087	118	0.576271	1.854500	629	0.319555	0.374000	0.383820	
610	0.300000	143	0.013986	117	0.854701	130	0.623077	1.854500	610	0.300000	0.366000	0.383703	
612	0.348039	124	0.072581	118	0.881356	146	0.609589	1.854500	612	0.348039	0.415000	0.383907	
589	0.346350	147	0.061224	129	0.782946	135	0.577778	1.854500	589	0.346350	0.392000	0.383959	
664	0.325301	109	0.091743	110	0.854545	117	0.564103	1.854500	664	0.325301	0.386000	0.383972	
651	0.316436	134	0.082090	102	0.862745	113	0.663717	1.854500	651	0.316436	0.380000	0.383947	
616	0.365260	128	0.085938	139	0.776978	117	0.581197	1.854500	616	0.365260	0.412000	0.384124	
618	0.320388	139	0.115108	129	0.837209	114	0.605263	1.854500	618	0.320388	0.391000	0.384167	
615	0.323577	118	0.000000	142	0.838028	125	0.656000	1.854500	615	0.323577	0.400000	0.384266	
609	0.318555	134	0.067164	121	0.793388	136	0.654412	1.854500	609	0.318555	0.388000	0.384290	
640	0.307812	125	0.088000	121	0.793388	114	0.622807	1.854500	640	0.307812	0.375000	0.384232	
633	0.259084	120	0.000000	125	0.856000	122	0.762295	1.854500	633	0.259084	0.364000	0.384108	
642	0.319315	123	0.081301	120	0.800000	115	0.643478	1.854500	642	0.319315	0.385000	0.384114	
660	0.360606	127	0.078740	114	0.780702	99	0.585859	1.854500	660	0.360606	0.395000	0.384179	
654	0.282875	125	0.064000	103	0.864078	118	0.694915	1.854500	654	0.282875	0.364000	0.384058	
608	0.366776	129	0.038760	129	0.790698	134	0.634328	1.854500	608	0.366776	0.415000	0.384243	
649	0.329738	129	0.069767	102	0.774510	120	0.566667	1.854500	649	0.329738	0.370000	0.384158	
635	0.313386	121	0.066116	123	0.886179	121	0.801653	1.854500	635	0.313386	0.413000	0.384329	
626	0.335463	137	0.087591	105	0.838095	132	0.689394	1.854500	626	0.335463	0.401000	0.384427	
607	0.326194	119	0.109244	133	0.751880	141	0.680851	1.854500	607	0.326194	0.407000	0.384559	
617	0.335494	121	0.074380	125	0.800000	137	0.671533	1.854500	617	0.335494	0.408000	0.384695	
584	0.333904	126	0.015873	144	0.798611	146	0.664384	1.854500	584	0.333904	0.409000	0.384836	
625	0.328000	123	0.065041	133	0.774436	119	0.789916	1.854500	625	0.328000	0.410000	0.384981	
629	0.367250	117	0.076923	140	0.928571	114	0.736842	1.854500	629	0.367250	0.454000	0.385375	
609	0.302135	149	0.067114	141	0.836879	101	0.485149	1.854500	609	0.302135	0.361000	0.385236	
615	0.344715	119	0.058824	128	0.867188	138	0.644928	1.854500	615	0.344715	0.419000	0.385427	
629	0.311606	119	0.050420	129	0.875969	123	0.552846	1.854500	629	0.311606	0.383000	0.385414	
643	0.315708	126	0.015873	114	0.833333	117	0.623932	1.854500	643	0.315708	0.373000	0.385344	
620	0.319355	136	0.073529	115	0.756522	129	0.689922	1.854500	620	0.319355	0.384000	0.385337	
619	0.329564	116	0.008621	155	0.787097	110	0.745455	1.854500	619	0.329564	0.409000	0.385467	
607	0.311367	134	0.067164	140	0.764286	119	0.655462	1.854500	607	0.311367	0.383000	0.385454	
625	0.291200	109	0.110092	130	0.830769	136	0.602941	1.854500	625	0.291200	0.384000	0.385446	
622	0.336013	109	0.055046	125	0.904000	144	0.722222	1.854500	622	0.336013	0.432000	0.385699	
629	0.316375	132	0.106061	129	0.829457	110	0.654545	1.854500	629	0.316375	0.392000	0.385733	
629	0.341812	115	0.069565	143	0.790210	113	0.584071	1.854500	629	0.341812	0.402000	0.385821	
643	0.311042	117	0.059829	122	0.844262	118	0.627119	1.854500	643	0.311042	0.384000	0.385811	
608	0.324013	141	0.092199	122	0.844262	129	0.744186	1.854500	608	0.324013	0.409000	0.385934	
645	0.339535	127	0.047244	111	0.837838	117	0.641026	1.854500	645	0.339535	0.393000	0.385972	
605	0.295868	138	0.043478	116	0.801724	141	0.581560	1.854500	605	0.295868	0.360000	0.385835	
590	0.323729	141	0.056738	138	0.782609	131	0.763359	1.854500	590	0.323729	0.407000	0.385946	
616	0.308442	161	0.062112	122	0.737705	101	0.603960	1.854500	616	0.308442	0.351000	0.385764	
625	0.294400	128	0.093750	108	0.916667	139	0.618705	1.854500	625	0.294400	0.381000	0.385739	
653	0.294028	135	0.051852	111	0.810811	101	0.534653	1.854500	653	0.294028	0.343000	0.385519	
642	0.317757	97	0.103093	108	0.805556	153	0.679739	1.854500	642	0.317757	0.405000	0.385619	
608	0.345395	110	0.063636	141	0.829787	141	0.638298	1.854500	608	0.345395	0.424000	0.385814	
588	0.307823	139	0.107914	150	0.886667	123	0.682927	1.854500	588	0.307823	0.413000	0.385952	
