Steppingstone sampler:
        No Stones:                  100
        Start It:                   10100001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-3.348482	-3.348482
1	0.950747	7500	-3.298876	-6.647357
2	0.926679	7500	-3.249601	-9.896958
3	0.902980	7500	-3.204660	-13.101618
4	0.879648	7500	-3.148640	-16.250258
5	0.856682	7500	-3.102181	-19.352439
6	0.834079	7500	-3.058349	-22.410789
7	0.811838	7500	-3.007822	-25.418611
8	0.789957	7500	-2.964047	-28.382657
9	0.768433	7500	-2.915879	-31.298536
10	0.747266	7500	-2.864012	-34.162548
11	0.726452	7500	-2.817528	-36.980076
12	0.705989	7500	-2.774048	-39.754124
13	0.685877	7500	-2.724091	-42.478215
14	0.666112	7500	-2.676734	-45.154949
15	0.646693	7500	-2.636471	-47.791420
16	0.627618	7500	-2.587526	-50.378947
17	0.608884	7500	-2.541079	-52.920026
18	0.590490	7500	-2.499830	-55.419856
19	0.572433	7500	-2.450215	-57.870071
20	0.554712	7500	-2.409948	-60.280018
21	0.537324	7500	-2.360205	-62.640223
22	0.520268	7500	-2.318165	-64.958388
23	0.503540	7500	-2.280839	-67.239227
24	0.487139	7500	-2.232696	-69.471923
25	0.471063	7500	-2.184373	-71.656296
26	0.455310	7500	-2.151130	-73.807426
27	0.439877	7500	-2.109759	-75.917185
28	0.424762	7500	-2.063735	-77.980920
29	0.409963	7500	-2.023147	-80.004067
30	0.395478	7500	-1.978084	-81.982151
31	0.381305	7500	-1.938058	-83.920208
32	0.367440	7500	-1.900470	-85.820679
33	0.353883	7500	-1.853272	-87.673950
34	0.340630	7500	-1.819194	-89.493145
35	0.327680	7500	-1.774261	-91.267406
36	0.315030	7500	-1.739304	-93.006709
37	0.302677	7500	-1.699293	-94.706002
38	0.290619	7500	-1.657986	-96.363988
39	0.278855	7500	-1.617506	-97.981494
40	0.267381	7500	-1.586907	-99.568401
41	0.256195	7500	-1.543025	-101.111426
42	0.245294	7500	-1.505189	-102.616614
43	0.234677	7500	-1.466435	-104.083049
44	0.224340	7500	-1.437076	-105.520125
45	0.214281	7500	-1.398672	-106.918797
46	0.204498	7500	-1.364025	-108.282822
47	0.194988	7500	-1.330088	-109.612910
48	0.185749	7500	-1.294702	-110.907613
49	0.176777	7500	-1.254816	-112.162428
50	0.168070	7500	-1.217921	-113.380349
51	0.159626	7500	-1.186482	-114.566830
52	0.151441	7500	-1.147969	-115.714799
53	0.143514	7500	-1.116318	-116.831117
54	0.135841	7500	-1.079794	-117.910911
55	0.128420	7500	-1.064507	-118.975418
56	0.121247	7500	-1.011084	-119.986501
57	0.114320	7500	-0.991345	-120.977847
58	0.107637	7500	-0.956213	-121.934059
59	0.101193	7500	-0.923871	-122.857930
60	0.094986	7500	-0.895772	-123.753702
61	0.089014	7500	-0.864428	-124.618130
62	0.083273	7500	-0.831656	-125.449786
63	0.077760	7500	-0.801043	-126.250829
64	0.072472	7500	-0.774187	-127.025016
65	0.067406	7500	-0.748208	-127.773224
66	0.062558	7500	-0.715092	-128.488316
67	0.057926	7500	-0.684863	-129.173179
68	0.053506	7500	-0.661323	-129.834502
69	0.049295	7500	-0.628010	-130.462512
70	0.045289	7500	-0.604417	-131.066929
71	0.041485	7500	-0.574272	-131.641201
72	0.037880	7500	-0.554015	-132.195216
73	0.034469	7500	-0.534816	-132.730032
74	0.031250	7500	-0.491740	-133.221772
75	0.028218	7500	-0.464000	-133.685773
76	0.025370	7500	-0.448525	-134.134298
77	0.022702	7500	-0.420276	-134.554574
78	0.020209	7500	-0.410181	-134.964755
79	0.017889	7500	-0.378924	-135.343679
80	0.015736	7500	-0.344279	-135.687959
81	0.013746	7500	-0.340402	-136.028361
82	0.011916	7500	-0.314144	-136.342505
83	0.010240	7500	-0.289506	-136.632010
84	0.008714	7500	-0.277260	-136.909270
85	0.007334	7500	-0.257733	-137.167002
86	0.006093	7500	-0.239912	-137.406914
87	0.004988	7500	-0.217482	-137.624396
88	0.004013	7500	-0.195587	-137.819983
89	0.003162	7500	-0.176894	-137.996877
90	0.002430	7500	-0.167504	-138.164381
91	0.001810	7500	-0.136435	-138.300815
92	0.001296	7500	-0.115054	-138.415869
93	0.000882	7500	-0.105340	-138.521209
94	0.000559	7500	-0.076209	-138.597418
95	0.000320	7500	-0.060851	-138.658268
96	0.000156	7500	-0.040988	-138.699256
97	0.000057	7500	-0.024778	-138.724034
98	0.000010	7500	-0.012248	-138.736282
99	0.000000	7500	-0.002697	-138.738979
Log marginal likelihood:	-138.738979
