Default schedule
Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
625	0.216000	114	0.096491	127	0.866142	134	0.544776	2.184836	625	0.216000	0.329000	0.349868	
639	0.302034	113	0.141593	132	0.901515	116	0.629310	2.184836	639	0.302034	0.401000	0.350369	
693	0.308802	103	0.097087	100	0.800000	104	0.596154	2.184836	693	0.308802	0.366000	0.350521	
623	0.309791	149	0.067114	115	0.773913	113	0.619469	2.184836	623	0.309791	0.362000	0.350631	
587	0.236797	147	0.122449	132	0.863636	134	0.641791	2.184836	587	0.236797	0.357000	0.350692	
639	0.309859	113	0.106195	117	0.811966	131	0.572519	2.184836	639	0.309859	0.380000	0.350968	
623	0.248796	123	0.048780	117	0.837607	137	0.532847	2.184836	623	0.248796	0.332000	0.350791	
652	0.233129	125	0.128000	113	0.867257	110	0.581818	2.184836	652	0.233129	0.330000	0.350599	
586	0.283276	143	0.041958	133	0.834586	138	0.543478	2.184836	586	0.283276	0.358000	0.350667	
633	0.232227	131	0.129771	107	0.785047	129	0.542636	2.184836	633	0.232227	0.318000	0.350370	
608	0.284539	114	0.061404	148	0.777027	130	0.569231	2.184836	608	0.284539	0.369000	0.350537	
599	0.298831	135	0.125926	132	0.856061	134	0.656716	2.184836	599	0.298831	0.397000	0.350952	
603	0.273632	138	0.043478	114	0.798246	145	0.455172	2.184836	603	0.273632	0.328000	0.350749	
634	0.253943	113	0.079646	152	0.861842	101	0.594059	2.184836	634	0.253943	0.361000	0.350839	
637	0.240188	109	0.036697	124	0.814516	130	0.476923	2.184836	637	0.240188	0.320000	0.350571	
643	0.250389	120	0.083333	102	0.882353	135	0.585185	2.184836	643	0.250389	0.340000	0.350480	
622	0.254019	128	0.125000	132	0.795455	118	0.593220	2.184836	622	0.254019	0.349000	0.350467	
616	0.280844	132	0.053030	124	0.830645	128	0.609375	2.184836	616	0.280844	0.361000	0.350556	
641	0.258970	109	0.027523	106	0.839623	144	0.541667	2.184836	641	0.258970	0.336000	0.350434	
612	0.295752	105	0.057143	124	0.830645	159	0.641509	2.184836	612	0.295752	0.392000	0.350780	
637	0.229199	133	0.112782	115	0.843478	115	0.582609	2.184836	637	0.229199	0.325000	0.350567	
654	0.235474	96	0.114583	135	0.829630	115	0.730435	2.184836	654	0.235474	0.361000	0.350653	
608	0.271382	129	0.077519	123	0.772358	140	0.507143	2.184836	608	0.271382	0.341000	0.350574	
614	0.285016	131	0.076336	130	0.876923	125	0.648000	2.184836	614	0.285016	0.380000	0.350812	
656	0.286585	107	0.074766	123	0.780488	114	0.666667	2.184836	656	0.286585	0.368000	0.350949	
627	0.275917	122	0.090164	117	0.803419	134	0.604478	2.184836	627	0.275917	0.359000	0.351013	
604	0.276490	129	0.100775	111	0.864865	156	0.391026	2.184836	604	0.276490	0.337000	0.350903	
607	0.280066	116	0.017241	149	0.785235	128	0.710938	2.184836	607	0.280066	0.380000	0.351130	
607	0.299835	133	0.060150	119	0.865546	141	0.581560	2.184836	607	0.299835	0.375000	0.351315	
620	0.251613	123	0.065041	127	0.811024	130	0.684615	2.184836	620	0.251613	0.356000	0.351351	
644	0.271739	117	0.119658	124	0.790323	115	0.547826	2.184836	644	0.271739	0.350000	0.351341	
640	0.256250	111	0.090090	119	0.840336	130	0.676923	2.184836	640	0.256250	0.362000	0.351422	
618	0.279935	129	0.108527	128	0.875000	125	0.560000	2.184836	618	0.279935	0.369000	0.351554	
