Default schedule
Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
617	0.267423	116	0.060345	126	0.817460	141	0.496454	2.355440	617	0.267423	0.345000	0.337244	
591	0.252115	125	0.056000	139	0.748201	145	0.489655	2.355440	591	0.252115	0.331000	0.337183	
599	0.250417	145	0.055172	136	0.786765	120	0.475000	2.355440	599	0.250417	0.322000	0.337036	
633	0.238547	131	0.030534	120	0.850000	116	0.396552	2.355440	633	0.238547	0.303000	0.336708	
611	0.235679	132	0.060606	124	0.790323	133	0.616541	2.355440	611	0.235679	0.332000	0.336663	
605	0.266116	148	0.101351	125	0.808000	122	0.467213	2.355440	605	0.266116	0.334000	0.336638	
630	0.223810	143	0.048951	99	0.757576	128	0.492188	2.355440	630	0.223810	0.286000	0.336165	
609	0.229885	126	0.079365	150	0.800000	115	0.495652	2.355440	609	0.229885	0.327000	0.336080	
615	0.224390	133	0.075188	129	0.751938	123	0.601626	2.355440	615	0.224390	0.319000	0.335924	
614	0.265472	133	0.030075	132	0.750000	121	0.297521	2.355440	614	0.265472	0.302000	0.335615	
638	0.219436	125	0.144000	131	0.839695	106	0.471698	2.355440	638	0.219436	0.318000	0.335456	
642	0.255452	115	0.121739	123	0.788618	120	0.416667	2.355440	642	0.255452	0.325000	0.335363	
639	0.236307	123	0.073171	113	0.814159	125	0.472000	2.355440	639	0.236307	0.311000	0.335147	
629	0.263911	116	0.112069	121	0.776860	134	0.641791	2.355440	629	0.263911	0.359000	0.335357	
623	0.227929	127	0.094488	122	0.819672	128	0.468750	2.355440	623	0.227929	0.314000	0.335171	
607	0.238880	130	0.046154	130	0.753846	133	0.556391	2.355440	607	0.238880	0.323000	0.335066	
629	0.268680	135	0.088889	124	0.782258	112	0.455357	2.355440	629	0.268680	0.329000	0.335014	
630	0.203175	113	0.088496	137	0.795620	120	0.483333	2.355440	630	0.203175	0.305000	0.334760	
650	0.203077	111	0.036036	116	0.784483	123	0.471545	2.355440	650	0.203077	0.285000	0.334342	
610	0.227869	119	0.050420	132	0.795455	139	0.388489	2.355440	610	0.227869	0.304000	0.334089	
623	0.271268	117	0.068376	131	0.770992	129	0.519380	2.355440	623	0.271268	0.345000	0.334179	
646	0.255418	115	0.052174	115	0.808696	124	0.258065	2.355440	646	0.255418	0.296000	0.333866	
600	0.203333	130	0.092308	137	0.744526	133	0.443609	2.355440	600	0.203333	0.295000	0.333550	
614	0.241042	132	0.106061	124	0.733871	130	0.392308	2.355440	614	0.241042	0.304000	0.333312	
611	0.281506	95	0.084211	147	0.782313	147	0.333333	2.355440	611	0.281506	0.344000	0.333397	
611	0.288052	104	0.019231	149	0.791946	136	0.345588	2.355440	611	0.288052	0.343000	0.333474	
637	0.249608	128	0.085938	107	0.813084	128	0.492188	2.355440	637	0.249608	0.320000	0.333367	
636	0.261006	128	0.054688	109	0.816514	127	0.637795	2.355440	636	0.261006	0.343000	0.333443	
651	0.235023	114	0.035088	129	0.829457	106	0.433962	2.355440	651	0.235023	0.310000	0.333261	
641	0.227769	125	0.032000	122	0.803279	112	0.526786	2.355440	641	0.227769	0.307000	0.333059	
625	0.235200	129	0.108527	109	0.779817	137	0.394161	2.355440	625	0.235200	0.300000	0.332807	
614	0.247557	134	0.074627	121	0.826446	131	0.343511	2.355440	614	0.247557	0.307000	0.332611	
620	0.304839	121	0.066116	117	0.786325	142	0.436620	2.355440	620	0.304839	0.351000	0.332749	
626	0.284345	107	0.093458	132	0.818182	135	0.518519	2.355440	626	0.284345	0.366000	0.332998	
641	0.249610	115	0.121739	118	0.872881	126	0.436508	2.355440	641	0.249610	0.332000	0.332990	
639	0.250391	109	0.036697	129	0.852713	123	0.268293	2.355440	639	0.250391	0.307000	0.332799	
621	0.247987	107	0.074766	140	0.771429	132	0.500000	2.355440	621	0.247987	0.336000	0.332822	
634	0.253943	112	0.044643	114	0.868421	140	0.400000	2.355440	634	0.253943	0.321000	0.332737	
632	0.227848	118	0.076271	127	0.740157	123	0.512195	2.355440	632	0.227848	0.310000	0.332573	
652	0.231595	122	0.065574	113	0.823009	113	0.292035	2.355440	652	0.231595	0.285000	0.332233	
603	0.266998	127	0.078740	134	0.835821	136	0.250000	2.355440	603	0.266998	0.317000	0.332125	
630	0.234921	125	0.032000	111	0.801802	134	0.477612	2.355440	630	0.234921	0.305000	0.331934	
615	0.265041	121	0.066116	120	0.775000	144	0.555556	2.355440	615	0.265041	0.344000	0.332019	
614	0.214984	127	0.070866	119	0.756303	140	0.557143	2.355440	614	0.214984	0.309000	0.331859	
652	0.259202	118	0.059322	110	0.745455	120	0.508333	2.355440	652	0.259202	0.319000	0.331770	
643	0.272162	113	0.132743	126	0.761905	118	0.220339	2.355440	643	0.272162	0.312000	0.331635	
611	0.238953	146	0.075342	130	0.800000	113	0.495575	2.355440	611	0.238953	0.317000	0.331535	
628	0.238854	139	0.115108	130	0.784615	103	0.485437	2.355440	628	0.238854	0.318000	0.331444	
609	0.244663	130	0.100000	148	0.743243	113	0.522124	2.355440	609	0.244663	0.331000	0.331441	
625	0.235200	126	0.071429	135	0.725926	114	0.359649	2.355440	625	0.235200	0.295000	0.331198	
626	0.199681	131	0.061069	115	0.791304	128	0.429688	2.355440	626	0.199681	0.279000	0.330852	
622	0.273312	126	0.047619	110	0.863636	142	0.598592	2.146119	622	0.273312	0.356000	0.331018	
636	0.254717	111	0.090090	139	0.741007	114	0.543860	2.146119	636	0.254717	0.337000	0.331057	
625	0.273600	115	0.034783	136	0.823529	124	0.459677	2.146119	625	0.273600	0.344000	0.331141	
609	0.313629	115	0.069565	133	0.789474	143	0.482517	2.146119	609	0.313629	0.373000	0.331411	
625	0.275200	119	0.168067	133	0.812030	123	0.585366	2.146119	625	0.275200	0.372000	0.331671	
632	0.284810	117	0.051282	115	0.817391	136	0.352941	2.146119	632	0.284810	0.328000	0.331648	
630	0.192063	134	0.052239	113	0.805310	123	0.569106	2.146119	630	0.192063	0.289000	0.331378	
610	0.408197	130	0.100000	122	0.745902	138	0.565217	1.267261	610	0.408197	0.431000	0.332004	
614	0.392508	126	0.063492	131	0.832061	129	0.480620	1.269720	614	0.392508	0.420000	0.332554	
595	0.462185	128	0.078125	132	0.818182	145	0.558621	1.269720	595	0.462185	0.474000	0.333433	
612	0.266340	121	0.033058	129	0.782946	138	0.536232	2.246523	612	0.266340	0.342000	0.333486	
623	0.274478	120	0.050000	127	0.763780	130	0.576923	2.246523	623	0.274478	0.349000	0.333581	
631	0.256735	117	0.051282	112	0.776786	140	0.521429	2.246523	631	0.256735	0.328000	0.333547	
639	0.284820	133	0.045113	120	0.791667	108	0.592593	2.246523	639	0.284820	0.347000	0.333628	
618	0.239482	121	0.033058	135	0.822222	126	0.476190	2.246523	618	0.239482	0.323000	0.333564	
630	0.247619	125	0.112000	115	0.826087	130	0.438462	2.246523	630	0.247619	0.322000	0.333495	
645	0.269767	113	0.088496	127	0.795276	115	0.591304	2.246523	645	0.269767	0.353000	0.333611	
641	0.285491	112	0.089286	142	0.809859	105	0.457143	2.246523	641	0.285491	0.356000	0.333744	
641	0.262090	116	0.086207	124	0.733871	119	0.554622	2.246523	641	0.262090	0.335000	0.333751	
664	0.262048	105	0.066667	129	0.798450	102	0.303922	2.246523	664	0.262048	0.315000	0.333641	
636	0.246855	126	0.071429	117	0.709402	121	0.578512	2.246523	636	0.246855	0.319000	0.333556	
655	0.258015	117	0.051282	117	0.897436	111	0.315315	2.246523	655	0.258015	0.315000	0.333449	
653	0.267994	114	0.087719	113	0.796460	120	0.525000	2.246523	653	0.267994	0.338000	0.333475	
634	0.246057	134	0.074627	126	0.690476	106	0.377358	2.246523	634	0.246057	0.293000	0.333244	
612	0.246732	125	0.064000	126	0.825397	137	0.569343	2.246523	612	0.246732	0.341000	0.333288	
618	0.294498	124	0.032258	121	0.710744	137	0.437956	2.246523	618	0.294498	0.332000	0.333281	
613	0.246330	131	0.068702	120	0.791667	136	0.411765	2.246523	613	0.246330	0.311000	0.333155	
624	0.246795	115	0.078261	124	0.750000	137	0.321168	2.246523	624	0.246795	0.300000	0.332970	
587	0.260647	160	0.125000	106	0.745283	147	0.428571	2.246523	587	0.260647	0.315000	0.332870	
598	0.277592	115	0.069565	136	0.823529	151	0.483444	2.246523	598	0.277592	0.359000	0.333015	
627	0.234450	119	0.067227	128	0.726562	126	0.460317	2.246523	627	0.234450	0.306000	0.332866	
608	0.217105	102	0.078431	148	0.722973	142	0.584507	2.246523	608	0.217105	0.330000	0.332851	
598	0.289298	154	0.012987	123	0.756098	125	0.416000	2.246523	598	0.289298	0.320000	0.332781	
628	0.257962	135	0.148148	119	0.857143	118	0.500000	2.246523	628	0.257962	0.343000	0.332836	
634	0.268139	118	0.101695	121	0.859504	127	0.527559	2.246523	634	0.268139	0.353000	0.332944	
649	0.211094	118	0.067797	121	0.785124	112	0.357143	2.246523	649	0.211094	0.280000	0.332661	
592	0.305743	120	0.016667	149	0.859060	139	0.086331	2.246523	592	0.305743	0.323000	0.332610	
623	0.242376	117	0.034188	125	0.848000	135	0.096296	2.246523	623	0.242376	0.274000	0.332300	
624	0.269231	133	0.090226	114	0.789474	129	0.294574	2.246523	624	0.269231	0.308000	0.332172	
634	0.238170	130	0.015385	110	0.745455	126	0.555556	2.246523	634	0.238170	0.305000	0.332030	
585	0.237607	130	0.053846	147	0.829932	138	0.188406	2.246523	585	0.237607	0.294000	0.331832	
605	0.261157	144	0.076389	131	0.824427	120	0.400000	2.246523	605	0.261157	0.325000	0.331796	
639	0.258216	134	0.104478	118	0.813559	109	0.532110	2.246523	639	0.258216	0.333000	0.331802	
620	0.233871	141	0.056738	115	0.756522	124	0.564516	2.246523	620	0.233871	0.310000	0.331691	
610	0.208197	135	0.103704	120	0.758333	135	0.451852	2.246523	610	0.208197	0.293000	0.331493	
628	0.264331	130	0.030769	117	0.811966	125	0.496000	2.246523	628	0.264331	0.327000	0.331470	
626	0.206070	114	0.175439	115	0.852174	145	0.441379	2.246523	626	0.206070	0.311000	0.331367	
610	0.252459	134	0.104478	130	0.807692	126	0.500000	2.246523	610	0.252459	0.336000	0.331390	
637	0.271586	122	0.065574	120	0.841667	121	0.570248	2.246523	637	0.271586	0.351000	0.331488	
637	0.277865	124	0.016129	123	0.861789	116	0.439655	2.246523	637	0.277865	0.336000	0.331511	
641	0.230889	109	0.073394	123	0.772358	127	0.566929	2.246523	641	0.230889	0.323000	0.331469	
634	0.257098	112	0.062500	129	0.883721	125	0.584000	2.246523	634	0.257098	0.357000	0.331594	
630	0.241270	126	0.134921	148	0.824324	96	0.479167	2.246523	630	0.241270	0.337000	0.331621	
601	0.259567	134	0.052239	134	0.805970	131	0.496183	2.246523	601	0.259567	0.336000	0.331642	
617	0.277147	119	0.058824	138	0.804348	126	0.539683	2.246523	617	0.277147	0.357000	0.331765	
624	0.221154	126	0.079365	125	0.768000	125	0.552000	2.246523	624	0.221154	0.313000	0.331675	
626	0.239617	127	0.047244	133	0.774436	114	0.429825	2.246523	626	0.239617	0.308000	0.331561	
609	0.274220	126	0.031746	120	0.808333	145	0.455172	2.246523	609	0.274220	0.334000	0.331573	
598	0.267559	134	0.074627	121	0.793388	147	0.442177	2.246523	598	0.267559	0.331000	0.331570	
596	0.261745	137	0.043796	131	0.709924	136	0.470588	2.246523	596	0.261745	0.319000	0.331510	
594	0.254209	137	0.043796	132	0.772727	137	0.437956	2.246523	594	0.254209	0.319000	0.331451	
607	0.200988	133	0.030075	129	0.620155	131	0.625954	2.246523	607	0.200988	0.288000	0.331247	
