Steppingstone sampler:
        No Stones:                  100
        Start It:                   10100001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-2.954394	-2.954394
1	0.950747	7500	-2.906307	-5.860701
2	0.926679	7500	-2.865498	-8.726199
3	0.902980	7500	-2.829960	-11.556158
4	0.879648	7500	-2.787333	-14.343492
5	0.856682	7500	-2.741765	-17.085257
6	0.834079	7500	-2.690414	-19.775671
7	0.811838	7500	-2.657597	-22.433267
8	0.789957	7500	-2.615195	-25.048462
9	0.768433	7500	-2.580564	-27.629026
10	0.747266	7500	-2.531208	-30.160234
11	0.726452	7500	-2.490426	-32.650660
12	0.705989	7500	-2.451290	-35.101950
13	0.685877	7500	-2.415691	-37.517640
14	0.666112	7500	-2.364507	-39.882148
15	0.646693	7500	-2.335160	-42.217307
16	0.627618	7500	-2.285404	-44.502712
17	0.608884	7500	-2.254770	-46.757482
18	0.590490	7500	-2.216150	-48.973631
19	0.572433	7500	-2.180878	-51.154510
20	0.554712	7500	-2.137100	-53.291609
21	0.537324	7500	-2.095664	-55.387274
22	0.520268	7500	-2.061738	-57.449012
23	0.503540	7500	-2.021178	-59.470190
24	0.487139	7500	-1.984131	-61.454321
25	0.471063	7500	-1.942532	-63.396853
26	0.455310	7500	-1.906106	-65.302959
27	0.439877	7500	-1.881237	-67.184196
28	0.424762	7500	-1.841751	-69.025947
29	0.409963	7500	-1.800541	-70.826488
30	0.395478	7500	-1.783198	-72.609686
31	0.381305	7500	-1.723811	-74.333497
32	0.367440	7500	-1.692386	-76.025883
33	0.353883	7500	-1.651843	-77.677726
34	0.340630	7500	-1.629085	-79.306811
35	0.327680	7500	-1.585162	-80.891973
36	0.315030	7500	-1.546278	-82.438251
37	0.302677	7500	-1.515170	-83.953421
38	0.290619	7500	-1.494594	-85.448015
39	0.278855	7500	-1.442713	-86.890729
40	0.267381	7500	-1.417362	-88.308091
41	0.256195	7500	-1.372195	-89.680286
42	0.245294	7500	-1.350071	-91.030357
43	0.234677	7500	-1.321784	-92.352142
44	0.224340	7500	-1.275051	-93.627193
45	0.214281	7500	-1.248057	-94.875250
46	0.204498	7500	-1.219056	-96.094306
47	0.194988	7500	-1.199984	-97.294290
48	0.185749	7500	-1.155755	-98.450045
49	0.176777	7500	-1.123328	-99.573373
50	0.168070	7500	-1.103504	-100.676877
51	0.159626	7500	-1.062731	-101.739608
52	0.151441	7500	-1.037285	-102.776893
53	0.143514	7500	-1.000127	-103.777020
54	0.135841	7500	-0.979495	-104.756515
55	0.128420	7500	-0.939792	-105.696307
56	0.121247	7500	-0.917490	-106.613797
57	0.114320	7500	-0.886930	-107.500728
58	0.107637	7500	-0.856665	-108.357392
59	0.101193	7500	-0.838283	-109.195675
60	0.094986	7500	-0.797577	-109.993252
61	0.089014	7500	-0.780557	-110.773808
62	0.083273	7500	-0.749898	-111.523707
63	0.077760	7500	-0.724825	-112.248532
64	0.072472	7500	-0.694794	-112.943326
65	0.067406	7500	-0.670029	-113.613356
66	0.062558	7500	-0.646107	-114.259463
67	0.057926	7500	-0.616168	-114.875631
68	0.053506	7500	-0.594373	-115.470004
69	0.049295	7500	-0.572427	-116.042431
70	0.045289	7500	-0.546584	-116.589015
71	0.041485	7500	-0.534227	-117.123242
72	0.037880	7500	-0.498920	-117.622162
73	0.034469	7500	-0.472325	-118.094487
74	0.031250	7500	-0.448585	-118.543072
75	0.028218	7500	-0.425959	-118.969031
76	0.025370	7500	-0.406587	-119.375618
77	0.022702	7500	-0.391260	-119.766878
78	0.020209	7500	-0.358292	-120.125170
79	0.017889	7500	-0.342507	-120.467677
80	0.015736	7500	-0.327967	-120.795644
81	0.013746	7500	-0.306993	-121.102637
82	0.011916	7500	-0.295485	-121.398122
83	0.010240	7500	-0.272619	-121.670741
84	0.008714	7500	-0.259261	-121.930002
85	0.007334	7500	-0.246704	-122.176706
86	0.006093	7500	-0.216342	-122.393048
87	0.004988	7500	-0.183867	-122.576915
88	0.004013	7500	-0.185134	-122.762050
89	0.003162	7500	-0.155683	-122.917732
90	0.002430	7500	-0.146238	-123.063971
91	0.001810	7500	-0.124074	-123.188044
92	0.001296	7500	-0.107732	-123.295776
93	0.000882	7500	-0.082296	-123.378073
94	0.000559	7500	-0.073774	-123.451847
95	0.000320	7500	-0.053523	-123.505370
96	0.000156	7500	-0.035042	-123.540413
97	0.000057	7500	-0.022096	-123.562509
98	0.000010	7500	-0.010376	-123.572884
99	0.000000	7500	-0.002128	-123.575012
Log marginal likelihood:	-123.575012
