Steppingstone sampler:
        No Stones:                  100
        Start It:                   10100001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-2.787532	-2.787532
1	0.950747	7500	-2.750851	-5.538382
2	0.926679	7500	-2.713280	-8.251662
3	0.902980	7500	-2.661149	-10.912811
4	0.879648	7500	-2.626557	-13.539368
5	0.856682	7500	-2.589242	-16.128609
6	0.834079	7500	-2.552567	-18.681177
7	0.811838	7500	-2.516908	-21.198085
8	0.789957	7500	-2.473039	-23.671124
9	0.768433	7500	-2.430684	-26.101808
10	0.747266	7500	-2.399111	-28.500919
11	0.726452	7500	-2.363111	-30.864029
12	0.705989	7500	-2.317108	-33.181138
13	0.685877	7500	-2.281361	-35.462498
14	0.666112	7500	-2.245339	-37.707838
15	0.646693	7500	-2.205433	-39.913271
16	0.627618	7500	-2.166742	-42.080013
17	0.608884	7500	-2.130669	-44.210682
18	0.590490	7500	-2.093591	-46.304273
19	0.572433	7500	-2.051510	-48.355783
20	0.554712	7500	-2.022431	-50.378214
21	0.537324	7500	-1.978634	-52.356848
22	0.520268	7500	-1.948578	-54.305426
23	0.503540	7500	-1.916365	-56.221790
24	0.487139	7500	-1.870994	-58.092784
25	0.471063	7500	-1.837178	-59.929962
26	0.455310	7500	-1.803620	-61.733582
27	0.439877	7500	-1.771469	-63.505051
28	0.424762	7500	-1.732488	-65.237538
29	0.409963	7500	-1.704028	-66.941566
30	0.395478	7500	-1.669346	-68.610912
31	0.381305	7500	-1.630336	-70.241248
32	0.367440	7500	-1.602716	-71.843964
33	0.353883	7500	-1.577875	-73.421839
34	0.340630	7500	-1.535885	-74.957724
35	0.327680	7500	-1.496277	-76.454001
36	0.315030	7500	-1.460193	-77.914194
37	0.302677	7500	-1.430468	-79.344662
38	0.290619	7500	-1.402780	-80.747442
39	0.278855	7500	-1.365128	-82.112570
40	0.267381	7500	-1.335295	-83.447865
41	0.256195	7500	-1.318029	-84.765895
42	0.245294	7500	-1.275520	-86.041414
43	0.234677	7500	-1.258542	-87.299956
44	0.224340	7500	-1.214712	-88.514668
45	0.214281	7500	-1.205485	-89.720153
46	0.204498	7500	-1.152197	-90.872350
47	0.194988	7500	-1.121391	-91.993742
48	0.185749	7500	-1.095989	-93.089731
49	0.176777	7500	-1.064785	-94.154516
50	0.168070	7500	-1.030446	-95.184962
51	0.159626	7500	-1.008543	-96.193505
52	0.151441	7500	-0.984595	-97.178099
53	0.143514	7500	-0.954081	-98.132180
54	0.135841	7500	-0.924637	-99.056817
55	0.128420	7500	-0.893058	-99.949875
56	0.121247	7500	-0.864566	-100.814441
57	0.114320	7500	-0.859261	-101.673702
58	0.107637	7500	-0.821939	-102.495641
59	0.101193	7500	-0.788037	-103.283678
60	0.094986	7500	-0.765402	-104.049080
61	0.089014	7500	-0.742574	-104.791654
62	0.083273	7500	-0.719220	-105.510874
63	0.077760	7500	-0.695747	-106.206621
64	0.072472	7500	-0.665860	-106.872481
65	0.067406	7500	-0.635248	-107.507730
66	0.062558	7500	-0.619731	-108.127461
67	0.057926	7500	-0.593472	-108.720932
68	0.053506	7500	-0.572349	-109.293282
69	0.049295	7500	-0.557177	-109.850459
70	0.045289	7500	-0.520966	-110.371424
71	0.041485	7500	-0.513612	-110.885036
72	0.037880	7500	-0.475703	-111.360739
73	0.034469	7500	-0.452601	-111.813340
74	0.031250	7500	-0.439014	-112.252354
75	0.028218	7500	-0.411580	-112.663933
76	0.025370	7500	-0.391596	-113.055529
77	0.022702	7500	-0.368617	-113.424147
78	0.020209	7500	-0.357676	-113.781822
79	0.017889	7500	-0.326635	-114.108457
80	0.015736	7500	-0.314901	-114.423358
81	0.013746	7500	-0.286771	-114.710129
82	0.011916	7500	-0.281022	-114.991151
83	0.010240	7500	-0.261807	-115.252958
84	0.008714	7500	-0.239718	-115.492675
85	0.007334	7500	-0.228050	-115.720725
86	0.006093	7500	-0.208225	-115.928950
87	0.004988	7500	-0.193242	-116.122192
88	0.004013	7500	-0.178340	-116.300533
89	0.003162	7500	-0.146827	-116.447360
90	0.002430	7500	-0.137176	-116.584536
91	0.001810	7500	-0.122506	-116.707042
92	0.001296	7500	-0.103360	-116.810401
93	0.000882	7500	-0.084399	-116.894801
94	0.000559	7500	-0.066484	-116.961285
95	0.000320	7500	-0.052238	-117.013522
96	0.000156	7500	-0.033980	-117.047502
97	0.000057	7500	-0.020274	-117.067776
98	0.000010	7500	-0.009892	-117.077668
99	0.000000	7500	-0.002123	-117.079791
Log marginal likelihood:	-117.079791
