Options:
Model:                           MultiState
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh.txt
Log File Name:                   hh.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3477853148
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   hh.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q10                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - Hyper Prior exp (0.00,0.05) 
        q10 - Hyper Prior exp (0.00,0.05) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	q01	q10	Root P(0)	Root P(1)	q01 - Mean	q10 - Mean	
11000	-71.167491	543	0.029495	0.065055	0.001548	0.998452	0.032675	0.044030	
12000	-69.308039	165	0.048896	0.075587	0.000400	0.999600	0.039586	0.038510	
13000	-67.422589	165	0.151290	0.007192	0.647702	0.352298	0.044693	0.004315	
14000	-66.960332	379	0.142272	0.009862	0.563492	0.436508	0.020868	0.011319	
15000	-65.253159	379	0.103682	0.133532	0.005326	0.994674	0.041431	0.033153	
16000	-65.593645	306	0.153083	0.015482	0.554612	0.445388	0.030595	0.047075	
17000	-66.046666	732	0.150001	0.000309	0.991810	0.008190	0.047905	0.018754	
18000	-67.136930	233	0.144689	0.048331	0.285349	0.714651	0.048336	0.047800	
19000	-67.026296	916	0.078417	0.104579	0.004771	0.995229	0.037864	0.046427	
20000	-66.535351	681	0.094038	0.145527	0.009524	0.990476	0.031168	0.023544	
21000	-65.906479	566	0.162734	0.036715	0.454805	0.545195	0.049628	0.043464	
22000	-66.708769	393	0.130699	0.034581	0.281198	0.718802	0.042054	0.022574	
23000	-65.776784	693	0.100185	0.102445	0.009192	0.990808	0.044064	0.047569	
24000	-66.829768	106	0.109826	0.077623	0.054254	0.945746	0.044807	0.043393	
25000	-67.689137	182	0.111206	0.019675	0.202741	0.797259	0.042220	0.036673	
26000	-66.178565	394	0.133963	0.036121	0.273904	0.726096	0.042801	0.031430	
27000	-66.936979	710	0.171744	0.074450	0.363551	0.636449	0.033045	0.029729	
28000	-67.379026	548	0.094825	0.086512	0.014153	0.985847	0.031919	0.039421	
29000	-66.874385	98	0.191359	0.053719	0.495197	0.504803	0.048692	0.047064	
30000	-66.539556	309	0.113128	0.065046	0.106790	0.893210	0.030225	0.046077	
31000	-66.600628	333	0.124537	0.002635	0.934127	0.065873	0.044350	0.038558	
32000	-67.324502	992	0.071100	0.088841	0.011279	0.988721	0.041422	0.048918	
33000	-65.748663	660	0.136294	0.045274	0.670213	0.329787	0.035731	0.025253	
34000	-66.780328	629	0.142234	0.025711	0.347901	0.652099	0.042365	0.038039	
35000	-67.086233	68	0.133522	0.017428	0.349623	0.650377	0.043285	0.041711	
36000	-67.046676	202	0.066615	0.104956	0.001129	0.998871	0.045183	0.033644	
37000	-69.213053	76	0.037878	0.113646	0.000616	0.999384	0.038532	0.037116	
38000	-68.882502	260	0.097847	0.023635	0.117084	0.882916	0.038428	0.011536	
39000	-67.029916	581	0.118946	0.050857	0.170148	0.829852	0.042669	0.038173	
40000	-66.637520	850	0.152355	0.013991	0.584918	0.415082	0.046940	0.011833	
41000	-68.879562	949	0.099413	0.040491	0.075433	0.924567	0.032474	0.021133	
42000	-68.623709	814	0.107584	0.014911	0.226764	0.773236	0.036970	0.014751	
43000	-66.283996	470	0.052324	0.131016	0.000063	0.999937	0.015373	0.029576	
44000	-67.461984	28	0.180719	0.033432	0.522342	0.477658	0.047360	0.012560	
45000	-66.153574	171	0.122080	0.044068	0.625245	0.374755	0.028339	0.016701	
46000	-68.002570	649	0.042527	0.096621	0.003271	0.996729	0.034950	0.044734	
47000	-67.224897	106	0.123945	0.010892	0.433374	0.566626	0.049692	0.029029	
48000	-66.773013	110	0.132142	0.032357	0.268944	0.731056	0.035928	0.022938	
49000	-67.971516	148	0.111301	0.077204	0.064322	0.935678	0.048379	0.019651	
50000	-68.180749	230	0.048479	0.094743	0.000325	0.999675	0.015639	0.029464	
51000	-66.910659	809	0.171152	0.044510	0.441915	0.558085	0.048037	0.022238	
52000	-68.446395	164	0.041035	0.111614	0.001988	0.998012	0.025046	0.038367	
53000	-66.270411	660	0.075696	0.120771	0.015183	0.984817	0.026042	0.038819	
54000	-66.084843	544	0.133408	0.120486	0.088749	0.911251	0.020726	0.027304	
55000	-67.840784	246	0.065316	0.087545	0.011035	0.988965	0.039682	0.037889	
56000	-66.798547	315	0.146774	0.008735	0.665016	0.334984	0.034196	0.006810	
57000	-67.976281	321	0.039433	0.101842	0.000665	0.999335	0.017980	0.048827	
58000	-65.960352	824	0.102752	0.154184	0.007104	0.992896	0.040166	0.046859	
59000	-68.868966	143	0.139137	0.002932	0.774669	0.225331	0.027124	0.015154	
60000	-66.472949	488	0.111209	0.115386	0.020148	0.979852	0.047084	0.046813	
61000	-67.332436	365	0.114214	0.093361	0.049849	0.950151	0.044474	0.035022	
62000	-66.051662	469	0.101852	0.135139	0.007425	0.992575	0.023978	0.036366	
63000	-66.343643	251	0.126679	0.013188	0.801295	0.198705	0.046208	0.048432	
64000	-66.079093	309	0.138343	0.017994	0.382936	0.617064	0.045386	0.037385	
65000	-66.056099	727	0.103922	0.112132	0.010100	0.989900	0.027308	0.028192	
66000	-65.830742	289	0.149748	0.025024	0.394182	0.605818	0.039758	0.021962	
67000	-65.720198	448	0.165424	0.062579	0.361751	0.638249	0.029238	0.023416	
68000	-68.105510	998	0.140329	0.064754	0.245073	0.754927	0.030314	0.034920	
69000	-66.877221	521	0.076962	0.139009	0.007879	0.992121	0.027603	0.046302	
70000	-66.381737	369	0.096108	0.161677	0.024140	0.975860	0.030798	0.042375	
71000	-67.621071	91	0.056535	0.118784	0.002626	0.997374	0.047926	0.035499	
72000	-66.327027	37	0.189054	0.055894	0.546447	0.453553	0.047200	0.028088	
73000	-66.346176	274	0.118080	0.062944	0.189015	0.810985	0.047264	0.048531	
74000	-67.775271	372	0.108766	0.041349	0.131004	0.868996	0.047186	0.029783	
75000	-68.056096	808	0.057059	0.080382	0.012495	0.987505	0.038779	0.043407	
76000	-66.639777	960	0.176786	0.011718	0.780854	0.219146	0.045469	0.022724	
77000	-66.751853	148	0.108022	0.154531	0.010440	0.989560	0.041464	0.049613	
78000	-66.446602	583	0.091060	0.136453	0.006229	0.993771	0.041946	0.043334	
79000	-67.281138	170	0.095388	0.221115	0.022800	0.977200	0.040877	0.046671	
80000	-67.391675	802	0.173679	0.002267	0.918806	0.081194	0.049181	0.013593	
81000	-66.702843	867	0.094925	0.113275	0.006752	0.993248	0.043979	0.045302	
82000	-66.757333	344	0.145004	0.049491	0.272078	0.727922	0.041303	0.023503	
83000	-66.869133	641	0.114660	0.111567	0.012794	0.987206	0.039405	0.047175	
84000	-67.012983	423	0.177619	0.022786	0.594884	0.405116	0.027718	0.038198	
85000	-67.023347	431	0.183902	0.029799	0.580737	0.419263	0.041180	0.027206	
86000	-66.317827	248	0.164597	0.075509	0.335623	0.664377	0.036148	0.049750	
87000	-65.488107	520	0.142982	0.040290	0.417974	0.582026	0.036203	0.019090	
88000	-66.309543	96	0.117871	0.026166	0.201458	0.798542	0.045385	0.043571	
89000	-66.627516	717	0.137839	0.060598	0.209284	0.790716	0.031137	0.048025	
90000	-70.032163	96	0.035843	0.068690	0.000822	0.999178	0.022044	0.029890	
91000	-67.840738	579	0.046637	0.139833	0.001464	0.998536	0.048251	0.037403	
92000	-67.104789	593	0.127342	0.061985	0.167973	0.832027	0.032009	0.023471	
93000	-67.557793	582	0.124134	0.083119	0.090562	0.909438	0.043408	0.035574	
94000	-68.211793	643	0.207400	0.006567	0.878271	0.121729	0.049317	0.013908	
95000	-66.132998	378	0.051241	0.122959	0.000691	0.999309	0.037777	0.039647	
96000	-67.061478	600	0.158683	0.154688	0.129263	0.870737	0.043081	0.045914	
97000	-66.097159	882	0.107804	0.142144	0.012523	0.987477	0.030268	0.049741	
98000	-66.497372	834	0.131199	0.037324	0.238649	0.761351	0.034112	0.036703	
99000	-66.331418	774	0.155961	0.014866	0.539420	0.460580	0.046432	0.024915	
100000	-66.471287	127	0.089637	0.135554	0.003101	0.996899	0.027256	0.039399	
101000	-66.623827	68	0.070912	0.090244	0.007058	0.992942	0.049479	0.042379	
102000	-67.297517	536	0.102445	0.077513	0.052301	0.947699	0.028776	0.047525	
103000	-66.326148	54	0.156580	0.019757	0.487554	0.512446	0.034969	0.021508	
104000	-67.838730	279	0.127851	0.038471	0.241810	0.758190	0.049761	0.040315	
105000	-65.624451	223	0.165877	0.065013	0.418056	0.581944	0.022229	0.027062	
106000	-66.369654	123	0.046230	0.115821	0.000581	0.999419	0.046157	0.033342	
107000	-67.948887	490	0.200457	0.034658	0.619198	0.380802	0.045602	0.045896	
108000	-66.598073	724	0.132817	0.050352	0.207590	0.792410	0.046053	0.044024	
109000	-66.184917	69	0.162779	0.028829	0.493930	0.506070	0.038562	0.024943	
110000	-68.293422	877	0.125140	0.028593	0.349127	0.650873	0.040957	0.032097	
111000	-66.459559	818	0.146005	0.055205	0.315659	0.684341	0.043534	0.047655	
112000	-69.248779	815	0.104322	0.013338	0.203419	0.796581	0.043287	0.019576	
113000	-69.689303	412	0.092379	0.025516	0.079404	0.920596	0.043945	0.028096	
114000	-67.728496	252	0.126915	0.013518	0.344068	0.655932	0.038495	0.046151	
