Default schedule
Rate	71.43
Prior Change	14.29
Tree Move	14.29
Rate Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
723	0.253112	146	0.246575	131	0.664122	2.639904	723	0.253112	0.306000	0.298518	
716	0.184358	143	0.293706	141	0.716312	2.639904	716	0.184358	0.275000	0.296559	
723	0.345781	135	0.303704	142	0.619718	2.102489	723	0.345781	0.379000	0.302900	
698	0.308023	154	0.331169	148	0.614865	2.102489	698	0.308023	0.357000	0.306764	
704	0.285511	150	0.393333	146	0.630137	2.102489	704	0.285511	0.352000	0.309779	
703	0.327169	152	0.289474	145	0.689655	2.102489	703	0.327169	0.374000	0.313793	
734	0.307902	125	0.352000	141	0.553191	2.102489	734	0.307902	0.348000	0.315805	
704	0.299716	147	0.285714	149	0.711409	2.102489	704	0.299716	0.359000	0.318205	
708	0.305085	134	0.291045	158	0.588608	2.102489	708	0.305085	0.348000	0.319773	
715	0.317483	147	0.353741	138	0.666667	2.102489	715	0.317483	0.371000	0.322334	
701	0.295292	147	0.231293	152	0.565789	2.102489	701	0.295292	0.327000	0.322556	
718	0.311978	144	0.298611	138	0.681159	2.102489	718	0.311978	0.361000	0.324303	
699	0.283262	154	0.331169	147	0.639456	2.102489	699	0.283262	0.343000	0.325116	
747	0.307898	117	0.341880	136	0.683824	2.102489	747	0.307898	0.363000	0.326695	
759	0.296443	129	0.302326	112	0.660714	2.102489	759	0.296443	0.338000	0.327147	
717	0.270572	154	0.253247	129	0.581395	2.102489	717	0.270572	0.308000	0.326411	
714	0.313725	133	0.330827	153	0.679739	2.102489	714	0.313725	0.372000	0.328099	
705	0.282270	154	0.188312	141	0.702128	2.102489	705	0.282270	0.327000	0.328060	
739	0.292287	126	0.301587	135	0.718519	2.102489	739	0.292287	0.351000	0.328851	
755	0.271523	139	0.244604	106	0.688679	2.102489	755	0.271523	0.312000	0.328289	
713	0.297335	144	0.291667	143	0.692308	2.102489	713	0.297335	0.353000	0.329086	
698	0.269341	147	0.244898	155	0.554839	2.102489	698	0.269341	0.310000	0.328490	
739	0.350474	130	0.323077	131	0.656489	2.102489	739	0.350474	0.387000	0.330263	
736	0.307065	122	0.336066	142	0.626761	2.102489	736	0.307065	0.356000	0.331020	
678	0.331858	168	0.255952	154	0.727273	2.102489	678	0.331858	0.380000	0.332419	
729	0.292181	144	0.270833	127	0.669291	2.102489	729	0.292181	0.337000	0.332546	
735	0.325170	137	0.372263	128	0.718750	2.102489	735	0.325170	0.382000	0.333883	
712	0.304775	160	0.350000	128	0.500000	2.102489	712	0.304775	0.337000	0.333965	
734	0.268392	140	0.328571	126	0.682540	2.102489	734	0.268392	0.329000	0.333838	
731	0.288646	141	0.226950	128	0.664062	2.102489	731	0.288646	0.328000	0.333692	
720	0.320833	137	0.328467	143	0.545455	2.102489	720	0.320833	0.354000	0.334187	
713	0.288920	145	0.241379	142	0.654930	2.102489	713	0.288920	0.334000	0.334183	
728	0.314560	152	0.289474	120	0.716667	2.102489	728	0.314560	0.359000	0.334760	
694	0.334294	140	0.221429	166	0.626506	2.102489	694	0.334294	0.367000	0.335492	
711	0.303797	143	0.314685	146	0.575342	2.102489	711	0.303797	0.345000	0.335704	
721	0.321775	157	0.331210	122	0.672131	2.102489	721	0.321775	0.366000	0.336362	
704	0.289773	160	0.300000	136	0.661765	2.102489	704	0.289773	0.342000	0.336482	
719	0.290682	152	0.276316	129	0.604651	2.102489	719	0.290682	0.329000	0.336326	
709	0.306065	136	0.205882	155	0.703226	2.102489	709	0.306065	0.354000	0.336687	
725	0.321379	146	0.205479	129	0.596899	2.102489	725	0.321379	0.340000	0.336753	
721	0.298197	130	0.384615	149	0.697987	2.102489	721	0.298197	0.369000	0.337386	
705	0.312057	124	0.282258	171	0.713450	2.102489	705	0.312057	0.377000	0.338147	
714	0.292717	135	0.325926	151	0.668874	2.102489	714	0.292717	0.354000	0.338446	
