society,crania
AfGhurd,0
GhAshnL,1
Aleut,0
Amhara,0
Andamans,0
Aranda,0
Atayal,1
Aymara,1
Azande,0
UgBito,0
Blackfoot,0
Bororo,0
Brunei,1
Calusa,1
Canela/Timbira,0
CnHQngL,0
CnLngsh,1
CnShang,1
CnTangE,1
DzTahrt,0
EgNKThu,0
EgPtol2,0
EIP Acari,1
EsHabsb,0
FrBurbL,0
FrTeneB,1
Ganda,0
InGaroE,1
GbEmpr2,1
Gheg,1
Hawaii3,0
IdBrokE,1
IdMajap,1
Ifagao,1
Igbo,1
Ila,1
InDelh*,1
IqAkkad,0
IqNAssr,1
IrBuyid,0
UsIroqE,0
IrPart1,0
IrSasn1,1
ItOstrg,0
ItRomMR,0
EcJivaE,1
JpAzMom,1
JpKamak,1
Kanuri,0
Kapauku/Mee,0
KhAngkC,0
Khasi,1
Klamath,0
Koryak,0
Late Linearbandkeramik,1
Lau Fijians,0
Lozi,0
Maasai,0
Mae Enga,0
CnQingE,0
Mataco,0
Mentaweians,1
MlMali*,0
Mossi,0
Mundurucu,1
Muscogee,0
MxAlb1L,1
MxAztec,1
MxEpicl,1
Navajo,0
NorKing,0
Nuer,0
Ojibway/Northern Saulteaux,0
Ona,0
PgOrokE,1
Pawnee,0
PeInca*,1
PeWari*,1
Qarmatians,0
Samoans,1
Scythians (Uyuk Culture),0
Senussi (Libyan Bedouin),0
Shluh,0
Somali,0
SyCalUm,1
Tiv,1
Tlingit,0
TnFatim,1
Toba,1
Tongans,0
Toradja,1
TrERom*,0
TrGalat,1
Trobrianders,0
FmTrukE,0
Tuareg,0
Tukano,1
Tupinamba,0
Turkana,0
USMisME,0
USOneot,1
Yuki,0
InMugl*,1
Alamut,0
Bali,0
Zulu,0
US1,0
