society,pop_res1,pol_cent,commsize_scale,ext_hier,PC1,agr_ins,agr,mil_org,sac_scale,Region,sacrifice_description,sac.source
Alamut,5.5,5,6,3,2.73893051,6,1.637732944,1,4,Western Asia,use of suicide attacks by assassins,"Daftary, Farhad, ed. “Nizari Ismaili History during the Alamut Period.” In The Isma’ilis: Their History and Doctrines, 2nd ed., 301–402. Cambridge: Cambridge University Press, 2007. https://doi.org/10.1017/CBO9780511497551.009."
Aleut,3,1,2,0,-2.04237485,1,-1.311947358,0,2,Northwest America,"""In taking a fortified place or barabora by storm, each warrior, scorning the danger to his life, cleared the way for his comrades and then sought to be the first to enter and compel the foe to surrender (this was considered a most glorious exploit). For this reason those who fought their way to the enemy must not [103] kill the conquered but must send them out after having branded each one with their weapons.” (Innokentii 1840)","Innokentii, Metropolitan of Moscow, Saint, Kolomna, Rossiisko-amerikanskaia kompaniia, B. Keen, and Assya Kardinelowska. 1840. “Notes on the Islands of the Unalaska District.” In . St. Petersburg: Russian-American Company. https://ehrafworldcultures.yale.edu/document?id=na06-001."
Amhara,6,4,7,3,2.674567382,5,1.047796883,1,2,Northern Africa,"“Perhaps more prominent in Amhara life has been the glorification of brave men. The Abyssinian military ethic took the form of a cult of the hero. Personal bravery—not discipline, training, honor, or self-sacrificing loyalty—was the paramount virtue in Abyssinian warfare. The guabaz warrior was rewarded by his chief, praised by the minstrel, and esteemed by the populace. His bravery was ranked according to the fearfulness of the enemy vanquished.” (Levine 1965: 272)","Levine, Donald Nathan. 1965. Wax & Gold: Tradition and Innovation in Ethiopian Culture. Chicago: University of Chicago Press. https://ehrafworldcultures.yale.edu/document?id=mp05-011"
Andamans,3,1,0,0,-2.461785533,1,-1.311947358,0,1,Southern Asia,"""Reference has already been made to their want of true courage or daring, and it has been stated that the Andamanese seldom, if ever, venture to make an attack unless satisfied of their superiority over their foes"" (Man 1932: 136). ""“It does not seems that there was ever such a thing as a stand-up fight between two parties. The whole art of fighting was to come upon your enemies by surprise, kill on or two of them and then retreat...If they met with any serious resistance or lost one of their own number they would immediately retire. Those attacked, if they were really taken by surprise, were generally compelled to save themselves by flight."" (Radcliffe-Brown 1922: 85). However Man also writes ""nevertheless, those who evince courage are much admired, and poltroons are objects of general ridicule""","Man, Edward Horace. On the Aboriginal Inhabitants of the Andaman Islands. The Royal Anthropological Institute of Great Britain and Ireland, 1932. https://ehrafworldcultures.yale.edu/document?id=az02-002 ; Radcliffe-Brown, A. R. (Alfred Reginald). The Andaman Islanders: A Study in Social Anthropology. Cambridge University Press, 1922. https://ehrafworldcultures.yale.edu/document?id=az02-001"
Aranda,3,2,0,0,-2.00889059,1,-1.311947358,0,3,Oceania,"""When a man collapses on the spot, as from a mortal wound, a regular tussle ensues, in an endeavour to secure the body, [187] between his friends and foes. The former run considerable risk while they expose their figures to the bombardment of spears; they are, however, covered by others, who come forth to specially shepherd them"" (Basedow 1925). ""They are afraid to engage in open combat, or if they do, they must feel themselves superior in strength...They can also be tender and kind, carrying wounded comrades, &c., carefully in their arms or on their backs"" (Schulze 1891)","Basedow, Herbert. 1925. “The Australian Aboriginal.” In . Adelaide: F. W. Preece and sons. https://ehrafworldcultures.yale.edu/document?id=oi08-007 ; Schulze, Louis Gustav, and J. G. O. Tepper. 1891. “The Aborigines of the Upper and Middle Finke River: Their Habits and Customs, with Introductory Notes on the Physical and Natural-History Features of the Country.” Transactions and Proceedings and Reports of the Royal Society of South Australia Vol. 14: 210–46. https://ehrafworldcultures.yale.edu/document?id=oi08-027. "
Atayal,4,2,2,1,-0.819569675,3,-0.132075237,0,1,East Asia,"“If they got no head in the expedition, or if somebody of the expedition was killed or injured, the expedition will be regarded as a failure. It is believed that members who are killed in the expedition will be transferred into evil spirits. Their corpses will be deserted in woods or caves and cannot be brought back to the village. On this occasion, the head they have gotten will be deserted too. No sacrificial ritual will be held though sometimes the head has been brought into the village.” (Rui 1955: 120)","Rui, Yifu, Ting-jui Ho, T, Shih-chen Hsü, and Ch. 1955. “Ethnographical Investigation of Some Aspects of the Atayal, Chin-Shui Ts’un, Miaoli Hsien.” Bulletin of the Department of Archaeology and Anthropology, National Taiwan University [Kao Gu Ren Lei Xue Kan], no. No. 5: 113–27. https://ehrafworldcultures.yale.edu/document?id=ad08-050."
Azande,6,3,2,2,0.760888446,3,-0.132075237,1,4,Western Africa,"""Belgian accounts of their fights with Azande on the whole confirm the comment of a British writer: ‘They will make two or three fierce attacks on a position, and if unsuccessful will abandon the assault.’ 1 On the other hand, Burrows, who had opportunities to observe Zande behaviour under fire, speaks highly of it: 'Their courage is admirable, their contempt for death supreme. They will stand to a fire that is dropping them by dozens, charging time after time until absolutely compelled to retire. Coming upon seven or eight men armed with rifles, they throw away their own arms and rush their opponents, though they may lose twenty or thirty men in the attempt. They are quite prepared to lose them, knowing that ultimately the guns will be theirs'. Azande say that very many were killed in their wars, and anyone who has read the books of de Calonne and Hutereau must have remarked on the large number of kings and princes who were killed in battle. I think this can be taken as an indication of high mortality because, though there were notable exceptions, kings and princes remained in the rear of the fighting and were therefore the least exposed to risk.” (Evans-Pritchard 1971: 264)","Evans-Pritchard, E. E. (Edward Evan). 1971. The Azande: History and Political Institutions. Oxford: Clarendon Press. https://ehrafworldcultures.yale.edu/document?id=fo07-068"
Blackfoot,3.5,2,3,0,-1.200948092,1,-1.311947358,0,4,Central North America,"""The warrior never expected quarter nor gave it, and usually men fought to the death, and died mute, defending themselves to the last—to the last, striving to inflict some injury on the enemy.” (Grinnell 1962). “If a man had gained a particularly outstanding war record or had died under heroic circumstances, the name might be reserved until someone in the family performed a notable deed of valour.” (Dempsey 1986: 422). ""As the people rode toward the camp at top speed, Brown Weasel Woman’s father had his horse shot out from under him. One of the bravest deeds performed by warriors in the old days was to brave the enemy fire while riding back to rescue a companion who was left on foot. This is what the daughter did for her father, both of them making their escape on her horse, after she stopped to unload the fresh meat that was tied on behind her."" (Hungry Wolf 1980: 63). ""The intense patriotism of the Blackfoot in volunteering their services to their country in two World Wars is a survival of the traditional Blackfoot concept of the warrior ideal. During World War II, when the Blackfoot furnished a much greater proportion of their able-bodied population for military service than was required of them, one still heard fullblood parents comforted by the old adage of buffalo days, “It is better for a man to die in war than to die of old age or sickness.”” (Ewers 1958: 322)","Grinnell, George Bird. 1962. Blackfoot Lodge Tales: The Story of a Prairie People. Lincoln: University of Nebraska Press. https://ehrafworldcultures.yale.edu/document?id=nf06-005. ; Dempsey, Hugh Aylmer. 1986. “The Blackfoot Indians.” In Native Peoples_: The Canadian Experience, 404–35. Toronto, Ont.: McClelland and Stewart. https://ehrafworldcultures.yale.edu/document?id=nf06-061 ; Hungry Wolf, Beverly. 1980. The Ways of My Grandmothers. New York: Morrow. https://ehrafworldcultures.yale.edu/document?id=nf06-020. ; Ewers, John Canfield. 1958. “The Blackfeet: Raiders of the Northwestern Plains.” In Civilization of the American Indian, vol. 49:xviii, 348 , plates. Norman: University of Oklahoma Press. https://ehrafworldcultures.yale.edu/document?id=nf06-008"
Bororo,3,2,1,1,-1.386927963,1,-1.311947358,0,3,Eastern South America,"“The boróro family who for any reason has moved from one place to another is subject at any moment to an [Page 294] 168 cont. unpleasant surprise by these enemies of theirs. The danger is always iminent, so that the man, upon whom the protection of the wife and of the family is incumbent, goes ahead, free of any hindrance, with his weapons in hand, always watchful and ready for the defense of the beings who belong to him, and not only to him but to the tribe.” (Colbacchini 1942: 293)","Colbacchini, Antonio, Cesar Albisetti, Ivana Lillios, and Brazil (State) Missao Salesiana Matto Grosso. 1942. “The Eastern Bororo Orarimogodogue of the Eastern Plateau of Mato Grosso.” In Brasiliana (Grande Formato), vol. 4:454. Rio De Janiero, Brazil: Companhia Editora Nacional. https://ehrafworldcultures.yale.edu/document?id=sp08-009"
Callinago,3,2,3,0,-1.379774566,1,-1.311947358,0,3,Northern South America,"""They are so cowardly that if they knew absolutely that one of them would [Page 36] die in combat, they would never go to war.... Should they lose men in the fighting, they would never leave their dead and wounded at the disposal of their enemies, even if most of them should die trying to retrieve them..If the enemy gives ground their confidence swells and they are lions in courage, but if one resists courageously they lose heart and take to their heels, selling their lives cheaply."" (Du Tertre 1667). ""If the enemy resisted and wounded one of their warriors, the wounded man’s companions did their utmost to rescue him, for they considered it outrageous to abandon a comrade-in-arms in the hands of the enemy (Rochefort 1666 [ 1658 ]: 322 ; Martire d’Anghiera 1966 [ 1555 ]: 80 r– 81 v)...Kalinago believed that whenever a man’s will to go to war wavered, Maboya, a demonic being, beat him in his dreams, both to punish him and to motivate him to go to battle (Rochefort 1666 [ 1658 ]: 282 ). They also believed that the souls of courageous warriors went to dwell in a paradisiacal island after death, where they passed the time dancing, playing, and feasting and were served by numerous Arrouague (Lokono) and African slaves. In contrast, the vital essences of those who “were cowardly and afraid to go to the wars against their Enemies, do after death serve the Arouagues, who inhabit barren and desert Countries beyond the Mountains” (Rochefort 1666 [ 1658 ]: 289 ). In summary, then, the capacity to wage war was a constitutive aspect of Kalinago manhood...A similar logic lies behind the extreme importance that these societies placed in retrieving the bodies of dead fellow warriors. Early sources report that the Kalinago (Rochefort 1666 [ 1658 ]: 322 ) and Chiriguaná (AGI 1735 : fol. 56 r) did everything they could to recover the bodies of fallen companions. Although we lack the evidence, it is probable that this was also true of the other societies in the sample, since, as Chaumeil ( 2007 : 262 – 263 ) suggests, this is a widespread Amerindian practice. The sources insist that leaving the body of a fellow warrior behind was perceived as a shameful act. And this might have been the case. More crucial, however, seems to have been the idea of preventing the enemy from keeping the vitalities of the fallen. In a political economy where life is the scarcest resource, success is measured, not only by capturing from rival groups as large an amount of potentialities of life as possible, but also by preventing the enemy from reducing one’s own stock of life forces."" (Santos-Granero 2009: 53, 55, 216)","Tertre, Jean Baptiste Du, Marshall Bassford McKusick, and Pierre Verin. 1667. “Concerning the Natives of the Antilles.” In General History of the Antilles Occupied by the French …, Vol. 2:HRAF ms: i, 42 [Original: 360–419 ]. Paris: T. Iolly. https://ehrafworldcultures.yale.edu/document?id=st13-004."
