"","society","Region","ter_res","pop_res1","ext.hier","pol_cent","mil.res","kill_mean","kill_se","PC1","PC1.st"
"1","AfGrBct","Central Asia",1,6,5,5,1,5.5,0.5,2.64481023718894,1.62980184561361
"2","Aleut","Northwest America",0,3,0,1,0,7,1,-1.92360519553125,-1.18537627154715
"3","Andamans","Southern Asia",0,3,0,1,0,3.5,1.5,-1.92360519553125,-1.18537627154715
"4","Angami","Southern Asia",0,5,0,2,0,7.5,0.5,-0.775904420812747,-0.478132774623723
"5","Aranda","Oceania",0,3,0,2,0,5,3,-1.50232014977805,-0.925769311681572
"6","Atayal","East Asia",0,4,1,2,0,6,2,-0.780381954043512,-0.480891948730313
"7","Azande","Western Africa",1,6,2,3,1,3.5,0.5,0.72604915192688,0.44741064261545
"8","Blackfoot","Central North America",0,3.5,0,2,1,1.5,0.5,-1.32071621753673,-0.81386017741711
"9","Bororo","Eastern South America",0,3,1,2,0,5,3,-1.14358981852616,-0.704710217259238
"10","Callinago","Caribbean",0,3,0,2,0,1.5,0.5,-1.50232014977805,-0.925769311681572
"11","Canela","Eastern South America",0,2,0,1,1,5.5,2.5,-2.2868130600139,-1.40919454007608
"12","CnQingE","East Asia",1,8,4,5,1,1.5,0.5,3.01249563490236,1.85637928824913
"13","DzTahrt","Northwest Africa",1,4.5,3,4,1,3,1,0.96125273220799,0.592349294109976
"14","EcJivaE","Western South America",0,3.5,0,1,0,7,1,-1.74200126328993,-1.07346713728269
"15","EgNKThu","Northern Africa",1,6,4,5,1,7.5,0.5,2.28607990593706,1.40874275119128
"16","EsHabsb","Europe",1,7,5,5,1,6.5,1.5,3.0080181016716,1.85362011414254
"17","FmTrukL","Oceania",0,3,0,2,0,7.5,0.5,-1.50232014977805,-0.925769311681572
"18","Ganda","Eastern Africa",1,6,3,5,1,2,0,1.92734957468517,1.18768365676894
"19","GbEmpr2","Europe",1,8.5,5,5,1,7.5,0.5,3.55282989839557,2.18934751693592
"20","GhAshnL","Western Africa",1,6,2,3,1,5.5,2.5,0.72604915192688,0.44741064261545
"21","Gheg","Europe",0,3,2,3,0,1,0,-0.363574441521076,-0.224044162971325
"22","IdBrokE","Southeast Asia",1,2,0,2,0,7,1,-1.8655280142607,-1.1495875802105
"23","Ifagao","Oceania",1,5,0,1,0,4,0,-1.19718946656595,-0.737739734489302
"24","Igbo","Western Africa",0,5,1,3,1,2.5,0.5,0.00411095619234103,0.0025332796641907
"25","Ila","Southern Africa",0,4,1,2,0,3,1,-0.780381954043512,-0.480891948730313
"26","InGaroE","Southern Asia",0,3,1,4,0,7.5,0.5,-0.301019727019762,-0.18549629752808
"27","InMugl*","Southern Asia",1,8,4,5,1,2,1,3.01249563490236,1.85637928824913
"28","IqNAssr","Southwest Asia",1,6,5,5,1,6,2,2.64481023718894,1.62980184561361
"29","ItRomMR","Europe",1,6,4,5,1,5.5,2.5,2.28607990593706,1.40874275119128
"30","ItRomPr","Europe",1,7,5,5,1,7.5,0.5,3.0080181016716,1.85362011414254
"31","Jebel Sahaba","Northern Africa",0,3,0,1,0,7,1,-1.92360519553125,-1.18537627154715
"32","JpKamak","East Asia",1,6,4,5,1,7.5,0.5,2.28607990593706,1.40874275119128
"33","Kanuri","Western Africa",1,6,3,5,1,1.5,0.5,1.92734957468517,1.18768365676894
"34","Kapauku","Oceania",0,4,1,2,0,3.5,0.5,-0.780381954043512,-0.480891948730313
"35","Klamath","Western North America",0,3,0,2,0,3,0,-1.50232014977805,-0.925769311681572
"36","Koryak","Northern Asia",1,3,0,2,0,7.5,0.5,-1.50232014977805,-0.925769311681572
"37","Late Linearbandkeramik","Europe",0,2,0,2,0,6.5,0.5,-1.8655280142607,-1.1495875802105
"38","Lau","Oceania",0,3,2,3,0,4,0,-0.363574441521076,-0.224044162971325
"39","Lozi","Southern Africa",1,4.5,3,5,1,2,1,1.38253777796119,0.851956253975555
"40","Maasai","Eastern Africa",0,4,1,2,1,1.5,0.5,-0.780381954043512,-0.480891948730313
"41","Mae Enga","Oceania",0,5,0,2,0,1.5,0.5,-0.775904420812747,-0.478132774623723
